1-AMINO-PROPAN-2-OL	(<i>R</i>)-1-aminopropan-2-ol
2-OCTAPRENYL-6-HYDROXYPHENOL	3-(<i>all-trans</i>-octaprenyl)benzene-1,2-diol
2-OCTAPRENYL-6-METHOXYPHENOL	2-methoxy-6-(<i>all-trans</i>-octaprenyl)phenol
2-OCTAPRENYLPHENOL	2-octaprenylphenol
2-OXO-5-METHYLTHIOPENTANOIC-ACID	5-(methylsulfanyl)-2-oxopentanoate
2-OXOBUTANOATE	2-oxobutanoate
2-PG	2-phospho-D-glycerate
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
2-PROTOCATECHUOYLPHLOROGLUCINOLCARBOXYLA	2-protocatechuoylphloroglucinolcarboxylate
2-TRANS6-TRANS-FARNESAL	(2<i>E</i>,6<i>E</i>)-farnesal
2-TRANS6-TRANS-FARNESOL	(<i>2E,6E</i>)-farnesol
24-DICHLOROPHENOL	2,4-dichlorophenol
245-DNOL	(1S,4R)-2,4,5-trichloro-2,5-cyclohexadiene-1-diol
25-DDOL	(1S,4S)-2,5-dichloro-2,5-cyclohexadiene-1,4-diol
25-DICHLORO-CISCIS-MUCONATE	2,5-dichloro-<I>cis,cis</I>-muconate
25-DICHLOROHYDROQUINONE	2,5-dichloro-<i>p</i>-quinol
25-DICHLOROPHENOL	2,5-dichlorophenol
25-DIDEHYDRO-D-GLUCONATE	2,5-didehydro-D-gluconate
26-DICHLORO-P-HYDROQUINONE	2,6-dichlorohydroquinone
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	2-C-methyl-D-erythritol-2,4-cyclodiphosphate
2K-4CH3-PENTANOATE	4-methyl-2-oxopentanoate
2K-ADIPATE	2-oxoadipate
3-4-DIHYDROXYBENZOATE	protocatechuate
3-5-ADP	adenosine 3',5'-bisphosphate
3-BETA-D-GLUCOSYLGLUCOSE	nigerose
3-BETA-HYDROXYANDROST-5-EN-17-ONE	3-&beta;-hydroxyandrost-5-en-17-one
3-BROMOPYRUVATE	3-bromopyruvate
3-CARBOXY-3-HYDROXY-ISOCAPROATE	(2<i>S</i>)-2-isopropylmalate
3-DEHYDRO-SHIKIMATE	3-dehydroshikimate
3-DEMETHYLSTAUROSPORINE	3'-<i>O</i>-demethyl-staurosporine
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	3-deoxy-D-arabino-heptulosonate 7-phosphate
3-ENOLPYRUVYL-SHIKIMATE-5P	5-enolpyruvoyl-shikimate 3-phosphate
3-HYDROHYDROXYPHOSPHORYLPYRUVATE	3-(hydroxyphosphinoyl)pyruvate
3-HYDROXY-3-4-METHYLPENT-3-EN-1-YLG-COA	3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA
3-HYDROXY-3-METHYL-GLUTARYL-COA	(<i>S</i>)-3-hydroxy-3-methylglutaryl-CoA
3-HYDROXY-5917-TRIOXO-45910-DISECOA	(1<i>E</i>,2<i>Z</i>)-3-hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1 (10),2-dien-4-oate
3-HYDROXY-ANTHRANILATE	3-hydroxyanthranilate
3-HYDROXY-L-KYNURENINE	3-hydroxy-L-kynurenine
3-HYDROXY-PROPIONATE	3-hydroxypropanoate
3-HYDROXY-PROPIONYL-COA	3-hydroxypropanoyl-CoA
3-HYDROXYADIPYL-COA	(3S)-hydroxyadipyl-CoA
3-HYDROXYAMINOPHENOL	3-hydroxyaminophenol
3-HYDROXYBENZOATE	3-hydroxybenzoate
3-HYDROXYPHENYL-PROPIONATE	3-(3-hydroxyphenyl)propanoate
3-HYDROXYPIMELYL-COA	3-hydroxypimeloyl-CoA
3-KETO-ADIPATE	3-oxoadipate
3-KETO-ADIPYL-COA	3-oxoadipyl-CoA
3-KETOBUTYRATE	acetoacetate
3-MERCAPTO-PYRUVATE	3-mercaptopyruvate
3-METHYLBENZYL-ALCOHOL	3-methylbenzyl alcohol
3-Methyl-Adenines	3-methyladenine
3-OCTAPRENYL-4-HYDROXYBENZOATE	3-octaprenyl-4-hydroxybenzoate
3-OXO-5-BETA-CHOLANATE	3-dehydrolithocholate
3-OXO-CHOLYL-COA	3-oxocholoyl-CoA
3-OXO-DELTA4-CHOLYL-COA	7&alpha;,12&alpha;-dihydroxy-3-oxochol-4-en-24-oyl-CoA
3-OXO-DELTA4-DEOXYCHOLYL-COA	12&alpha;-hydroxy-3-oxochol-4-en-24-oyl-CoA
3-OXO-DELTA46-CHOLYL-COA	12&alpha;-hydroxy-3-oxochol-4,6-dien-24-oyl-CoA
3-OXO-DEOXYCHOLYL-COA	12&alpha;-hydroxy-3-oxocholan-24-oyl-CoA
3-OXOADIPATE-ENOL-LACTONE	(4,5-dihydro-5-oxofuran-2-yl)-acetate
3-OXOPIMELOYL-COA	3-oxopimeloyl-CoA
3-P-HYDROXYPYRUVATE	3-phosphooxypyruvate
3-P-SERINE	<i>O</i>-phospho-L-serine
3-UREIDO-ISOBUTYRATE	3-(carbamoylamino)-2-methylpropanoate
3-UREIDO-PROPIONATE	3-ureidopropanoate
34-DICHLOROANILINE	3,4-dichloroaniline
34-DIHYDROXYPHENYLACETALDEHYDE	3,4-dihydroxyphenylacetaldehyde
34-DIHYDROXYPHENYLPYRUVATE	3-(3,4-dihydroxyphenyl)pyruvate
35-DICHLOROCATECHOL	3,5-dichlorocatechol
36-DICHLOROCATECHOL	3,6-dichlorocatechol
3Z-PHYCOCYANOBILIN	(2R,3Z)-phycocyanobilin
3Z-PHYCOERYTHROBILIN	(3Z)-phycoerythrobilin
4-ALPHA-METHYL-5-ALPHA	4&alpha;-methyl-5&alpha;-cholest-7-en-3&beta;-ol
4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON	4&alpha;-methyl-5&alpha;-cholest-7-en-3-one
4-AMINO-4-DEOXYCHORISMATE	4-amino-4-deoxychorismate
4-AMINO-BUTYRALDEHYDE	4-aminobutanal
4-AMINO-BUTYRATE	4-aminobutanoate
4-CARBOXYMETHYLENEBUT-2-EN-4-OLIDE	<i>cis</i>-dienelactone
4-CYTIDINE-5-DIPHOSPHO-2-C	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
4-DEOXY-BETA-D-GLUC-4-ENURONOSYL-6S	4-deoxy-&beta;-D-gluc-4-enuronosyl-(1,3)-<i>N</i>-acetyl--D-galactosamine 6-sulfate
4-FLUOROBENZOATE	4-fluorobenzoate
4-HYDROXY-2-KETOVALERATE	(<i>S</i>)-4-hydroxy-2-oxopentanoate
4-HYDROXY-BUTYRATE	4-hydroxybutanoate
4-HYDROXY-BUTYRYL-COA	4-hydroxybutanoyl-CoA
4-HYDROXY-L-PROLINE	<i>trans</i>-4-hydroxy-L-proline
4-HYDROXYBENZALDEHYDE	4-hydroxybenzaldehyde
4-HYDROXYPHENYLACETATE	(4-hydroxyphenyl)acetate
4-IMIDAZOLONE-5-PROPIONATE	4-imidazolone-5-propanoate
4-MALEYL-ACETOACETATE	4-maleyl-acetoacetate
4-METHYL-824-CHOLESTADIENOL	4&alpha;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol
4-METHYLBENZYL-ALCOHOL	4-methylbenzyl alcohol
4-METHYLCATECHOL	4-methylcatechol
4-OH-4-ACETYL-2-OXOGLUTARATE	2-hydroxy-4-oxobutane-1,2,4-tricarboxylate
4-OXALOMESACONATE	(1<i>E</i>)-4-oxobut-1-ene-1,2,4-tricarboxylate
4-P-PANTOTHENATE	(<i>R</i>)-4'-phosphopantothenate
4-PHOSPHONOOXY-THREONINE	4-phosphooxy-L-threonine
4-hydroxybenzoate	4-hydroxybenzoate
44-DIMETHYL-5ALPHA-CHOLEST-7-EN-3BET	4,4-dimethyl-5&alpha;-cholest-7-en-3&beta;-ol
44-DIMETHYL-824-CHOLESTADIENOL	14-demethyllanosterol
44-DIMETHYL-CHOLESTA-814-24-TRIENOL	4,4-dimethyl-5-&alpha;-cholesta-8,14,24-trien-3-&beta;-ol
5-AMINO-LEVULINATE	5-aminolevulinate
5-AMINOPENTANOATE	5-aminopentanoate
5-BETA-L-THREO-PENTAPYRANOSYL-4-ULOSE-	UDP-&beta;-L-threo-pentapyranos-4-ulose
5-DEHYDROGLUCONATE	5-dehydro-D-gluconate
5-HYDROXY-CTP	5-hydroxy-CTP
5-HYDROXYINDOLE_ACETALDEHYDE	5-hydroxyindole acetaldehyde
5-HYDROXYINDOLE_ACETATE	5-hydroxyindole acetate
5-HYDROXYISOURATE	(<i>S</i>)-5-hydroxyisourate
5-IODOPENTAPHOSPHONATE	5-iodopentaphosphonate
5-KETO-4-DEOXY-D-GLUCARATE	5-dehydro-4-deoxy-D-glucarate
5-METHYL-THF	5-methyltetrahydropteroyl mono-L-glutamate
5-METHYLTHIOADENOSINE	<i>S</i>-methyl-5'-thioadenosine
5-METHYLTHIOINOSINE	<i>S</i>-methyl-5'-thioinosine
5-OXOPROLINE	5-oxo-L-proline
5-P-BETA-D-RIBOSYL-AMINE	5-phospho-&beta;-D-ribosylamine
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	<i>N</i><sup>2</sup>-formyl-<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	2-(formamido)-N<sup>1</sup>-(5-phospho-&beta;-D-ribosyl)acetamidine
6-CARBOXYHEX-2-ENOYL-COA	6-carboxyhex-2-enoyl-CoA
6-CHQ	6-chlorohydroxyquinol
6-HYDROXY-NICOTINATE	6-hydroxynicotinate
6-KESTOSE	6-kestotriose
6-OXO-HEXANOATE	6-oxohexanoate
7-8-DIHYDROPTEROATE	7,8-dihydropteroate
7-CYANO-7-DEAZAGUANINE	preQ<sub>0</sub>
7-METHYLGUANOSINE-5-PHOSPHATE	<i>N</i><sup>7</sup>-methylguanosine 5'-phosphate
7-O-PHOSPHOHYGROMYCIN-B	7''-O-phosphohygromycin B
ACET	acetate
ACETALD	acetaldehyde
ACETAMIDE	acetamide
ACETOACETYL-COA	acetoacetyl-CoA
ACETOL	hydroxyacetone
ACETONE	acetone
ACETYL-COA	acetyl-CoA
ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	<i>N</i>-acetyl-&alpha;-D-glucosaminyldiphospho-<i>ditrans,octacis</i>-undecaprenol
ACETYL-ETCETERA-GLUCOSAMINYLDIPHOSPHOUND	ManNAc-GlcNAc-PP-undecaprenol
ACETYL-GLU	<i>N</i>-acetyl-L-glutamate
ACETYL-P	acetyl phosphate
ACETYLSERINE	<i>O</i>-acetyl-L-serine
ACRYLATE	acrylate
ACRYLYL-COA	acryloyl-CoA
ACTINOMYCIN-D	actinomycin D
ADENINE	adenine
ADENOSINE	adenosine
ADENOSINE5TRIPHOSPHO5ADENOSINE	P<sup>1</sup>,P<sup>3</sup>-<i>bis</i>(5'-adenosyl) triphosphate
ADENOSINE_DIPHOSPHATE_RIBOSE	ADP-D-ribose
ADENOSYL-HOMO-CYS	<i>S</i>-adenosyl-L-homocysteine
ADENOSYL-P4	P<sup>1</sup>,P<sup>4</sup>-<i>bis</i>(5'-adenosyl) tetraphosphate
ADENOSYLCOBALAMIN	adenosylcobalamin
ADENOSYLCOBALAMIN-5-P	adenosylcobalamin 5'-phosphate
ADENOSYLCOBINAMIDE	adenosylcobinamide
ADENOSYLCOBINAMIDE-GDP	adenosylcobinamide-GDP
ADENOSYLCOBINAMIDE-P	adenosyl-cobinamide phosphate
ADENYLOSUCC	adenylo-succinate
ADIPATE	adipate
ADP	ADP
ADP-D-GLUCOSE	ADP-&alpha;-D-glucose
ADP-L-GLYCERO-D-MANNO-HEPTOSE	ADP-L-glycero-&beta;-D-<I>manno</I>-heptose
AEROBACTIN	aerobactin
AG+	Ag<SUP>+</SUP>
AGMATHINE	agmatine
AICAR	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE	all-<i>trans</i>-heptaprenyl diphosphate
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE	all-<i>trans</i>-hexaprenyl diphosphate
ALL-TRANS-PENTAPRENYL-DIPHOSPHATE	geranylfarnesyl diphosphate
ALLYSINE	(<i>S</i>)-2-amino-6-oxohexanoate
ALPHA-D-GALACTOSE	&alpha;-D-galactopyranose
ALPHA-D-MANNOSYL-3-PHOSPHOGLYCERATE	2-<i>O</i>-(&alpha;-D-mannosyl)-3-phospho-D-glycerate
ALPHA-GLUCOSE	&alpha;-D-glucopyranose
ALPHA-GLUCOSE-16-BISPHOSPHATE	&alpha;-glucose 1,6-bisphosphate
ALPHA-MALTOSE	&alpha;-maltose
ALPHA-RIBAZOLE	&alpha;-ribazole
ALPHA-RIBAZOLE-5-P	&alpha;-ribazole 5'-phosphate
ALPHA-TOCOPHEROL	&alpha;-tocopherol
ALPHAALPHA-TREHALOSE-66-BISMYCOLATE	&alpha;, &alpha;'-trehalose 6,6'-bismycolate
AMIDINOPROCLAVAMINATE	amidinoproclavaminate
AMINO-HYDROXYMETHYL-METHYL-PYR-P	4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP	4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE	6-(hydroxymethyl)-7,8-dihydropterin
AMINO-OXOBUT	L-2-amino-3-oxobutanoate
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	5-amino-6-(D-ribitylamino)uracil
AMINOHYDROQUINONE	aminohydroquinone
AMMONIA	ammonia
AMMONIUM	ammonium
AMP	AMP
ANDROST4ENE	androst-4-ene-3,17-dione
ANHYDROTETRACYCLINE	anhydrotetracycline
ANTHRANILATE	anthranilate
ANTIMONITE	antimonite ion
APS	adenosine 5'-phosphosulfate
ARACHIDIC_ACID	arachidate
ARG	L-arginine
ARSENATE	arsenate
ASCORBATE	L-ascorbate
ASN	L-asparagine
ASOLECTIN	asolectin
ATABRINE	atabrine
ATP	ATP
ATRAZINE	atrazine
Alpha-lactose	&alpha;-lactose
B-ALANINE	&beta;-alanine
BA+2	Ba<SUP>2+</SUP>
BACIMETHRIN	bacimethrin
BENZALDEHYDE	benzaldehyde
BENZENE	benzene
BENZIMIDAZOLE	benzimidazole
BENZOATE	benzoate
BENZOYL-ACETATE	3-oxo-3-phenylpropanoate
BENZOYLCOA	benzoyl-CoA
BENZYL-ALCOHOL	benzyl alcohol
BETA-D-FRUCTOSE	&beta;-D-fructofuranose
BETA-D-MANNOSYLPHOSPHODECAPRENOL	<i>trans,octacis</i>-decaprenylphospho-&beta;-D-mannose
BETA-D-XYLOSE	&beta;-D-xylopyranose
BETA-HCH	&beta;-hexachlorocyclohexane
BETA-TOCOPHEROL	&beta;-tocopherol
BETAINE	glycine betaine
BETAINE-ALDEHYDE-HYDRATE	betaine aldehyde hydrate
BETAINE_ALDEHYDE	betaine aldehyde
BH4NA	sodium tetrahydridoborate
BIFURCOSE	1,6-kestotetraose
BILIRUBIN	(<i>Z,Z</i>)-bilirubin-IX &alpha;
BILIVERDINE	(<i>Z,Z</i>)-biliverdin-IX &alpha;
BIO-5-AMP	biotinyl-5'-adenylate
BIOTIN	biotin
BIPHENYL-23-DIOL	biphenyl-2,3-diol
BIS-GAMMA-GLUTAMYLCYSTINE	bis-&gamma;-glutamylcystine
BIS-GERANYLGERANYLGLYCEROL-PHOSPHATE	2,3-bis-<i>O</i>-(geranylgeranyl)-<i>sn</i>-glycerol 1-phosphate
BISOHMYR-GLC	lipid A disaccharide (<i>E. coli</i>)
BISOHMYR-GLUCOSAMINYL-1P	lipid X
BR-	bromide
BRIJ97	Brij 97
BROMOACETATE	bromoacetate
BUTANAL	butan-1-al
BUTANOL	butan-1-ol
BUTHIONINE-SULFOXIMINE	buthionine sulfoximine
BUTYRIC_ACID	butanoate
BUTYRYL-COA	butanoyl-CoA
C-DI-GMP	cyclic di-3',5'-guanylate
C1	UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanyl-D-alanine
C3	UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-L-lysyl-D-alanyl-D-alanine
C4	undecaprenyl-diphospho-<i>N</i>-acetylmuramoyl-L-alanyl-&gamma;-D-glutamyl-L-lysyl- D-alanyl-D-alanine
C5	undecaprenyldiphospho-<i>N</i>-acetylmuramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanyl-D-alanine
C55-PP-GLCNAC-MANNACA	<i>N</i>-acetyl-&beta;-D-mannosaminuronyl-(1&rarr;4)-N-acetyl-&alpha;-D-glucosaminyl-diphospho-<i>ditrans,octacis</i>-undecaprenol
C55-PP-GLCNAC-MANNACA-FUC4NAC	(enterobacterial common antigen)-undecaprenyl diphosphate
C6	<i>ditrans,octacis</i>-undecaprenyldiphospho-[(<i>N</i>-acetyl-&beta;-D-glucosaminyl)-(1,4)-]-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanyl-D-alanine
CA+2	Ca<SUP>2+</SUP>
CADAVERINE	cadaverine
CAFFEOYL-COA	<i>trans</i>-caffeoyl-CoA
CAMP	cyclic-AMP
CANAVANINE	L-canavanine
CARBAMATE	carbamate
CARBAMOYL-P	carbamoyl phosphate
CARBAMYUL-L-ASPARTATE	<i>N</i>-carbamoyl-L-aspartate
CARBON-DIOXIDE	CO<SUB>2</SUB>
CARBON-MONOXIDE	carbon monoxide
CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL	3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P	1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
CARNITINE	L-carnitine
CATECHOL	catechol
CD+2	Cd<SUP>2+</SUP>
CDP	CDP
CDP-36-DIDEOXY-D-MANNOSE	CDP-&alpha;-D-paratose
CDP-CHOLINE	CDP-choline
CDP-D-GLUCOSE	CDP-&alpha;-D-glucose
CELLOBIOSE	&beta;-D-cellobiose
CH33ADO	5'-deoxyadenosine
CH4	methane
CHALCONE-CMPD	<i>trans</i>-chalcone
CHLORALAN-CPD	3-chloro-L-alanine
CHLORAMPHENICOL	chloramphenicol
CHLOROHYDROQUINONE	chlorohydroquinone
CHLOROPHYLL-A	chlorophyll <i>a</i>
CHLOROPHYLL-B	chlorophyll <i>b</i>
CHLOROPHYLLIDE-A	chlorophyllide <i>a</i>
CHOLATE	cholate
CHOLESTEROL	cholesterol
CHOLINE	choline
CHORISMATE	chorismate
CINNAMOYL-COA	cinnamoyl-CoA
CIS-2-CHLORO-4-CARBOXYMETHYLENEBUT-2-EN-	2-chloro-<I>cis</I>-dienelactone
CIS-3-HEXENAL	(Z)-3-hexanal
CIS-3-HEXENOL	(3Z)-hex-3-en-1-ol
CIS-3-PHENYLCYCLOHEXA-35-DIENE-12-DIOL	cis-3-phenylcyclohexa-3,5-diene-1,2-diol
CIS-ACONITATE	<i>cis</i>-aconitate
CIS-CIS-MUCONATE	cis,cis-muconate
CIT	citrate
CL-	chloride
CLAVAMINATE	clavaminate
CMP	CMP
CMP-KDO	CMP-3-deoxy-&beta;-D-<i>manno</i>-octulosonate
CMP-N-ACETYL-NEURAMINATE	CMP-<i>N</i>-acetyl-&beta;-neuraminate
CO+2	Co<SUP>2+</SUP>
CO-A	coenzyme A
COBALT-FACTOR-III	cobalt-factor III
COFORMYCIN	coformycin
COPROPORPHYRINOGEN_III	coproporphyrinogen III
COPROPORPHYRIN_III	coproporphyrin III
CORTISOL	cortisol
COUMARATE	4-coumarate
CPD-1001	<I>p</I>-cymene
CPD-10011	demethyl-L-phosphinothricin
CPD-10012	carboxyspermidine
CPD-10013	bialaphos
CPD-10014	31-<i>O</i>-desmethylFK-506
CPD-10016	FK-506
CPD-10017	coenzyme F<sub>390</sub>-A
CPD-1002	4-isopropylbenzyl alcohol
CPD-1003	<I>p</I>-cumic aldehyde
CPD-1004	<I>p</I>-cumate
CPD-10044	(4R,7R)-4-isopropenyl-7-methyloxepan-2-one
CPD-10047	(3R,6R)-6-hydroxy-3-isopropenylheptanoate
CPD-1005	(2R,3S)-2,3-dihydroxy-2,3-dihydro-<I>p</I>-cumate
CPD-1006	2,3-dihydroxy-<I>p</I>-cumate
CPD-10064	(4S,7R)-4-isopropenyl-7-methyloxepan-2-one
CPD-10065	(3S,6R)-6-hydroxy-3-isopropenyl-heptanoate
CPD-10068	(3S,6R)-6-isopropenyl-3-methyloxepan-2-one
CPD-10069	(3S,6S)-6-isopropenyl-3-methyloxepan-2-one
CPD-1007	2-hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate
CPD-1008	2-hydroxy-7-methyl-6-oxo-2,4-octadienoate
CPD-10080	<i>N</i>6,<i>N</i>6,<i>O</i>-tridemethylpuromycin
CPD-10082	<i>N</i>-acetyl-<i>N</i>6,<i>N</i>6,<i>O</i>-tridemethylpuromycin
CPD-10088	<i>N</i>-acetyl-<i>O</i>-demethylpuromycin
CPD-10091	<i>N</i>-acetylpuromycin
CPD-10092	2-bromo-4'-nitroacetophenone
CPD-101	&epsilon;-caprolactone
CPD-10116	tuberculosinyl diphosphate
CPD-10117	tuberculosinol
CPD-10135	2-isocapryloyl-3<i>R</i>-hydroxymethyl-&gamma;-butyrolactone
CPD-10151	2-deoxystreptamine
CPD-10158	(-)-geosmin
CPD-10159	(1E,4S,5E,7R)-germacra-1(10),5-dien-11-ol
CPD-10160	(8S,9S,10S)-8,10-dimethyl-1-octalin
CPD-102	6-hydroxyhexanoate
CPD-1022	<i>N</i>-(3-aminopropyl)hydroxylamine
CPD-10220	UDP-3-dehydro-&alpha;-D-glucose
CPD-10223	UDP-&alpha;-D-kanosamine
CPD-10224	kanosamine
CPD-10225	D-kanosamine 6-phosphate
CPD-10227	1-deoxy-1-imino-D-erythrose 4-phosphate
CPD-10228	4-amino-3,4-dideoxy-D-<i>arabino</i>-heptulosonate 7-phosphate
CPD-10229	5-deoxy-5-amino-3-dehydroquinate
CPD-1023	<i>N</i>-(3-aminopropyl)-<i>N</i>-hydroxyacetamide
CPD-10230	5-amino-5-deoxy-3-dehydroshikimate
CPD-10231	3-amino-5-hydroxybenzoate
CPD-10237	27-<i>O</i>-demethyl-rifamycin SV
CPD-10238	25-<i>O</i>-deacetyl-27-<i>O</i>-demethylrifamycin SV
CPD-10239	25-<i>O</i>-deacetyl-27-<i>O</i>-demethylrifamycin S
CPD-10241	proansamycin X
CPD-10242	34&alpha;-deoxy-rifamycin W
CPD-10246	sulfoacetate
CPD-10267	decanoyl-CoA
