12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)
DISSULFRED-PWY	dissimilatory sulfate reduction I (to hydrogen sufide))
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis
ECASYN-PWY	enterobacterial common antigen biosynthesis
ENTBACSYN-PWY	enterobactin biosynthesis
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt
ETHYL-PWY	ethylene biosynthesis I (plants)
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I
FAO-PWY	fatty acid &beta;-oxidation I
FASYN-ELONG-PWY	fatty acid elongation -- saturated
FERMENTATION-PWY	mixed acid fermentation
FORMASS-PWY	formaldehyde oxidation IV (thiol-independent)
FUCCAT-PWY	fucose degradation
GALACTARDEG-PWY	D-galactarate degradation I
GALACTCAT-PWY	D-galactonate degradation
GALACTITOLCAT-PWY	galactitol degradation
GALACTUROCAT-PWY	D-galacturonate degradation I
GALDEG-PWY	D-galactose degradation II
GALLATE-DEGRADATION-I-PWY	gallate degradation II
GALLATE-DEGRADATION-II-PWY	gallate degradation I
GAMMAHEXCHLORDEG-PWY	&gamma;-hexachlorocyclohexane degradation
GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I
GLUCARDEG-PWY	<i>D</i>-glucarate degradation I
GLUCONEO-PWY	gluconeogenesis I
GLUCONSUPER-PWY	D-gluconate degradation
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
GLUDEG-I-PWY	GABA shunt
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II
GLUTAMINDEG-PWY	L-glutamine degradation I
GLUTATHIONESYN-PWY	glutathione biosynthesis
GLUTDEG-PWY	L-glutamate degradation II
GLUTORN-PWY	L-ornithine biosynthesis I
GLYCGREAT-PWY	creatine biosynthesis
GLYCLEAV-PWY	glycine cleavage
GLYCOCAT-PWY	glycogen degradation I
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway
GLYOXDEG-PWY	glycolate and glyoxylate degradation II
GLYOXYLATE-BYPASS	glyoxylate cycle
GLYSYN-PWY	glycine biosynthesis I
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)
HEMESYN2-PWY	heme <i>b</i> biosynthesis II (anaerobic)
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis
HISDEG-PWY	L-histidine degradation I
HISHP-PWY	L-histidine degradation VI
HISTSYN-PWY	L-histidine biosynthesis
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)
HOMOSER-METSYN-PWY	L-methionine biosynthesis I
HOMOSER-THRESYN-PWY	L-threonine biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis
HSERMETANA-PWY	L-methionine biosynthesis III
HYDROXYPRODEG-PWY	<i>trans</i>-4-hydroxy-L-proline degradation I
IDNCAT-PWY	L-idonate degradation
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis I
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
KDOSYN-PWY	Kdo transfer to lipid IV<sub>A</sub> I
KETOGLUCONMET-PWY	ketogluconate metabolism
LACTOSECAT-PWY	lactose and galactose degradation I
LARABITOLUTIL-PWY	xylitol degradation
LEU-DEG2-PWY	L-leucine degradation I
LEUSYN-PWY	L-leucine biosynthesis
LIPA-CORESYN-PWY	lipid A-core biosynthesis (<i>E. coli</i> K-12)
LYSDEGII-PWY	L-lysine degradation III
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV
LYXMET-PWY	L-lyxose degradation
MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II
MALTOSECAT-PWY	maltose degradation
MANNCAT-PWY	D-mannose degradation
MANNIDEG-PWY	mannitol degradation I
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis
METH-ACETATE-PWY	methanogenesis from acetate
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation
MGLDLCTANA-PWY	methylglyoxal degradation VI
NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)
NAD-BIOSYNTHESIS-III	NAD biosynthesis III (from nicotinamide)
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway I
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I
P101-PWY	ectoine biosynthesis
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)
P108-PWY	pyruvate fermentation to propanoate I
P121-PWY	adenine and adenosine salvage I
P122-PWY	heterolactic fermentation
P124-PWY	Bifidobacterium shunt
P141-PWY	atrazine degradation I (aerobic)
P161-PWY	acetylene degradation (anaerobic)
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)
P163-PWY	L-lysine fermentation to acetate and butanoate
P164-PWY	purine nucleobases degradation I (anaerobic)
P181-PWY	nicotine degradation I (pyridine pathway)
P183-PWY	catechol degradation to 2-hydroxypentadienoate I
P184-PWY	protocatechuate degradation I (<I>meta</I>-cleavage pathway)
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)
P2-PWY	citrate lyase activation
P201-PWY	nitroglycerin degradation
P21-PWY	pentose phosphate pathway (partial)
P221-PWY	octane oxidation
P222-PWY	sulfide oxidation I (sulfide-quinone reductase)
P23-PWY	reductive TCA cycle I
P241-PWY	coenzyme B biosynthesis
P261-PWY	coenzyme M biosynthesis I
P281-PWY	3-phenylpropanoate degradation
P3-PWY	gallate degradation III (anaerobic)
P303-PWY	ammonia oxidation II (anaerobic)
P321-PWY	benzoyl-CoA degradation III (anaerobic)
P341-PWY	glycolysis V (Pyrococcus)
P343-PWY	resorcinol degradation
P345-PWY	aldoxime degradation
P401-PWY	cyanide degradation
P42-PWY	incomplete reductive TCA cycle
P421-PWY	4-nitrotoluene degradation I
P483-PWY	phosphonoacetate degradation
P541-PWY	glycine betaine biosynthesis IV (from glycine)
P542-PWY	choline-<i>O</i>-sulfate degradation
P561-PWY	proline betaine degradation
P562-PWY	<I>myo</I>-inositol degradation I
P601-PWY	(+)-camphor degradation
P621-PWY	nylon-6 oligomer degradation
P641-PWY	phenylmercury acetate degradation
P662-PWY	dibenzofuran degradation
PANTO-PWY	phosphopantothenate biosynthesis I
PCEDEG-PWY	tetrachloroethene degradation
PCPDEG-PWY	pentachlorophenol degradation
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)
PHESYN	L-phenylalanine biosynthesis I
PHOSLIPSYN2-PWY	superpathway of phospholipid biosynthesis II (plants)
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I
PPGPPMET-PWY	ppGpp biosynthesis
PROPIONMET-PWY	propanoyl CoA degradation I
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)
PROUT-PWY	L-proline degradation
PUTDEG-PWY	putrescine degradation I
PWY-0	putrescine degradation III
PWY-101	photosynthesis light reactions
PWY-1042	glycolysis IV (plant cytosol)
PWY-1121	suberin monomers biosynthesis
PWY-1186	L-homomethionine biosynthesis
PWY-1263	taurine degradation I
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis
PWY-1281	sulfoacetaldehyde degradation I
PWY-1341	phenylacetate degradation II (anaerobic)
PWY-1361	benzoyl-CoA degradation I (aerobic)
PWY-1422	vitamin E biosynthesis (tocopherols)
PWY-1501	mandelate degradation I
PWY-1581	plastoquinol-9 biosynthesis I
PWY-1622	formaldehyde assimilation I (serine pathway)
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate
PWY-1801	formaldehyde oxidation II (glutathione-dependent)
PWY-181	photorespiration
PWY-1822	indole-3-acetate activation I
PWY-1861	formaldehyde assimilation II (assimilatory RuMP Cycle)
PWY-1881	formate oxidation to CO<sub>2</sub>
PWY-2	putrescine degradation IV
PWY-2161	folate polyglutamylation
PWY-2201	folate transformations I
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)
PWY-2301	<i>myo</i>-inositol biosynthesis
PWY-2361	3-oxoadipate degradation
PWY-2381	4-nitrobenzoate degradation
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type
PWY-2421	indole-3-acetate degradation
PWY-2501	fatty acid &alpha;-oxidation I
PWY-2503	benzoate degradation I (aerobic)
PWY-2541	phytosterol biosynthesis (plants)
PWY-2622	trehalose biosynthesis IV
PWY-2661	trehalose biosynthesis V
PWY-2681	<i>trans</i>-zeatin biosynthesis
PWY-2721	trehalose degradation III
PWY-2722	trehalose degradation IV
PWY-2723	trehalose degradation V
PWY-2724	alkane oxidation
PWY-2781	<i>cis</i>-zeatin biosynthesis
PWY-283	benzoate degradation II (aerobic and anaerobic)
PWY-2941	L-lysine biosynthesis II
PWY-2942	L-lysine biosynthesis III
PWY-3	putrescine degradation V
PWY-3041	monoterpene biosynthesis
PWY-3081	L-lysine biosynthesis V
PWY-3161	indole-3-acetate biosynthesis III (bacteria)
PWY-3341	L-proline biosynthesis III
PWY-3461	L-tyrosine biosynthesis II
PWY-3462	L-phenylalanine biosynthesis II
PWY-3561	choline biosynthesis III
PWY-361	phenylpropanoid biosynthesis
PWY-3661	glycine betaine degradation I
PWY-3661-1	glycine betaine degradation II (mammalian)
PWY-3721	choline degradation II
PWY-3722	glycine betaine biosynthesis II (Gram-positive bacteria)
PWY-3781	aerobic respiration I (cytochrome c)
PWY-3801	sucrose degradation II (sucrose synthase)
PWY-381	nitrate reduction II (assimilatory)
PWY-3821	D-galactose detoxification
PWY-3841	folate transformations II
PWY-3861	mannitol degradation II
PWY-3881	mannitol biosynthesis
PWY-3941	&beta;-alanine biosynthesis II
PWY-3982	uracil degradation I (reductive)
PWY-40	putrescine biosynthesis I
PWY-401	galactolipid biosynthesis I
PWY-4041	&gamma;-glutamyl cycle
PWY-4061	glutathione-mediated detoxification I
PWY-4081	glutathione-peroxide redox reactions
PWY-4101	D-sorbitol degradation I
PWY-4202	arsenate detoxification I (glutaredoxin)
PWY-43	putrescine biosynthesis II
PWY-4302	aerobic respiration III (alternative oxidase pathway)
PWY-4321	L-glutamate degradation IV
PWY-4341	L-glutamate biosynthesis V
PWY-4361	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I
PWY-4381	fatty acid biosynthesis initiation I
PWY-4702	phytate degradation I
PWY-4722	creatinine degradation II
PWY-481	ethylbenzene degradation (anaerobic)
PWY-4821	UDP-&alpha;-D-xylose biosynthesis
PWY-4841	UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)
PWY-4981	L-proline biosynthesis II (from arginine)
PWY-4983	nitric oxide biosynthesis II (mammals)
PWY-4984	urea cycle
PWY-5001	tetrahydroxyxanthone biosynthesis (from benzoate)
PWY-5022	4-aminobutanoate degradation V
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)
PWY-5027	phylloquinol biosynthesis
PWY-5028	L-histidine degradation II
PWY-5030	L-histidine degradation III
PWY-5033	nicotinate degradation II
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II
PWY-5048	rosmarinic acid biosynthesis I
PWY-5049	rosmarinic acid biosynthesis II
PWY-5054	D-sorbitol biosynthesis I
PWY-5063	phytyl diphosphate biosynthesis
PWY-5064	chlorophyll <i>a</i> biosynthesis II
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)
PWY-5068	chlorophyll cycle
PWY-5074	mevalonate degradation
PWY-5083	NAD/NADH phosphorylation and dephosphorylation
PWY-5086	chlorophyll <i>a</i> biosynthesis I
PWY-5087	L-glutamate degradation VI (to pyruvate)
PWY-5097	L-lysine biosynthesis VI
PWY-5101	L-isoleucine biosynthesis II
PWY-5103	L-isoleucine biosynthesis III
PWY-5104	L-isoleucine biosynthesis IV
PWY-5108	L-isoleucine biosynthesis V
PWY-5115	GDP-L-galactose biosynthesis
PWY-5120	geranylgeranyl diphosphate biosynthesis
PWY-5122	geranyl diphosphate biosynthesis
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis
PWY-5129	sphingolipid biosynthesis (plants)
PWY-5132	lupulone and humulone biosynthesis
PWY-5133	colupulone and cohumulone biosynthesis
PWY-5135	xanthohumol biosynthesis
PWY-5136	fatty acid &beta;-oxidation II (peroxisome)
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)
PWY-5138	unsaturated, even numbered fatty acid &beta;-oxidation
PWY-5140	cannabinoid biosynthesis
PWY-5147	oleate biosynthesis I (plants)
PWY-5154	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)
PWY-5159	<i>trans</i>-4-hydroxy-L-proline degradation II
PWY-5162	2-hydroxypenta-2,4-dienoate degradation
PWY-5163	<I>p</I>-cumate degradation to 2-hydroxypentadienoate
PWY-5169	cyanuric acid degradation II
PWY-5170	melamine degradation
PWY-5177	glutaryl-CoA degradation
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
PWY-5189	tetrapyrrole biosynthesis II (from glycine)
PWY-5194	siroheme biosynthesis
PWY-5196	factor 430 biosynthesis
PWY-5197	lactate biosynthesis (archaea)
PWY-5198	factor 420 biosynthesis
PWY-5247	methanogenesis from methylamine
PWY-5248	methanogenesis from dimethylamine
PWY-5250	methanogenesis from trimethylamine
PWY-5254	methanofuran biosynthesis
PWY-5258	methanogenesis from dimethylsulfide
PWY-5259	methanogenesis from methanethiol
PWY-5260	methanogenesis from methylthiopropanoate
PWY-5265	peptidoglycan biosynthesis II (staphylococci)
PWY-5269	cardiolipin biosynthesis II
PWY-5274	sulfide oxidation II (sulfide dehydrogenase)
PWY-5280	L-lysine degradation IV
PWY-5283	L-lysine degradation V
PWY-5287	sanguinarine and macarpine biosynthesis
PWY-5288	astaxanthin biosynthesis (bacteria, fungi, algae)
PWY-5296	thiosulfate oxidation III (multienzyme complex)
PWY-5298	L-lysine degradation VI
PWY-5301	ajmaline and sarpagine biosynthesis
PWY-5303	thiosulfate oxidation II (via tetrathionate)
PWY-5306	superpathway of thiosulfate metabolism (<i>Desulfovibrio sulfodismutans</i>)
PWY-5316	nicotine biosynthesis
PWY-5329	L-cysteine degradation III
PWY-5340	sulfate activation for sulfonation
PWY-5343	ajugose biosynthesis II (galactinol-independent)
PWY-5344	L-homocysteine biosynthesis
PWY-5350	thiosulfate disproportionation IV (rhodanese)
PWY-5352	thiosulfate disproportionation II (cytochrome)
PWY-5358	tetrathionate reduction I (to thiosulfate)
PWY-5360	superpathway of tetrathionate reduction (<i>Salmonella typhimurium</i>)
PWY-5366	palmitoleate biosynthesis II (plants and bacteria)
PWY-5367	petroselinate biosynthesis
PWY-5381	pyridine nucleotide cycling (plants)
PWY-5384	sucrose degradation IV (sucrose phosphorylase)
PWY-5386	methylglyoxal degradation I
PWY-5389	3-methylthiopropanoate biosynthesis
PWY-5392	reductive TCA cycle II
PWY-5394	betalamic acid biosynthesis
PWY-5410	traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis
PWY-5419	catechol degradation to 2-hydroxypentadienoate II
PWY-5427	naphthalene degradation (aerobic)
PWY-5428	1,3-dimethylbenzene degradation to 3-methylbenzoate
PWY-5429	1,4-dimethylbenzene degradation to 4-methylbenzoate
PWY-5436	L-threonine degradation IV
PWY-5437	L-threonine degradation I
PWY-5441	S-methyl-L-methionine cycle
PWY-5443	aminopropanol phosphate biosynthesis I
PWY-5453	methylglyoxal degradation III
PWY-5458	methylglyoxal degradation V
PWY-5459	methylglyoxal degradation IV
PWY-5466	matairesinol biosynthesis
PWY-5468	lupanine biosynthesis
PWY-5480	pyruvate fermentation to ethanol I
PWY-5481	pyruvate fermentation to (<i>S</i>)-lactate
PWY-5482	pyruvate fermentation to acetate II
PWY-5484	glycolysis II (from fructose 6-phosphate)
PWY-5485	pyruvate fermentation to acetate IV
PWY-5486	pyruvate fermentation to ethanol II
PWY-5487	4-nitrophenol degradation I
PWY-5488	4-nitrophenol degradation II
PWY-5489	methyl parathion degradation
PWY-5493	reductive monocarboxylic acid cycle
PWY-5497	purine nucleobases degradation II (anaerobic)
PWY-5499	vitamin B<sub>6</sub> degradation
PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
PWY-5512	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I
PWY-5514	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II
PWY-5515	L-arabinose degradation II
PWY-5516	D-xylose degradation II
PWY-5517	L-arabinose degradation III
PWY-5519	D-arabinose degradation III
PWY-5521	L-ascorbate biosynthesis III
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic)
PWY-5525	D-glucuronate degradation I
PWY-5526	bacteriochlorophyll <i>a</i> biosynthesis
PWY-5530	sorbitol biosynthesis II
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)
PWY-5532	nucleoside and nucleotide degradation (archaea)
PWY-5536	acetate formation from acetyl-CoA (succinate)
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation
PWY-5629	isopenicillin N biosynthesis
PWY-5631	deacetylcephalosporin C biosynthesis
PWY-5633	cephamycin C biosynthesis
PWY-5637	nitrobenzene degradation I
PWY-5641	2-nitrotoluene degradation
PWY-5642	2,4-dinitrotoluene degradation
PWY-5644	4-nitrotoluene degradation II
PWY-5645	4-chloronitrobenzene degradation
PWY-5647	2-nitrobenzoate degradation I
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate
PWY-5656	mannosylglycerate biosynthesis I
PWY-5659	GDP-mannose biosynthesis
PWY-5661	GDP-glucose biosynthesis
PWY-5663	erythro-tetrahydrobiopterin biosynthesis I
PWY-5664	<i>erythro</i>-tetrahydrobiopterin biosynthesis II
PWY-5667	CDP-diacylglycerol biosynthesis I
PWY-5668	cardiolipin biosynthesis I
PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I
PWY-5670	epoxysqualene biosynthesis
PWY-5674	nitrate reduction IV (dissimilatory)
PWY-5676	acetyl-CoA fermentation to butanoate II
PWY-5677	succinate fermentation to butanoate
PWY-5679	clavulanate biosynthesis
PWY-5686	UMP biosynthesis I
PWY-5690	TCA cycle II (plants and fungi)
PWY-5691	urate conversion to allantoin I
PWY-5692	allantoin degradation to glyoxylate II
PWY-5694	allantoin degradation to glyoxylate I
PWY-5695	inosine 5'-phosphate degradation
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY-5703	urea degradation I
PWY-5705	allantoin degradation to glyoxylate III
PWY-5708	ethiin metabolism
PWY-5710	capsaicin biosynthesis
PWY-5723	Rubisco shunt
PWY-5731	atrazine degradation III
PWY-5736	isopropylamine degradation
PWY-5738	GDP-6-deoxy-D-talose biosynthesis
PWY-5739	GDP-D-perosamine biosynthesis
PWY-5740	GDP-L-colitose biosynthesis
PWY-5741	ethylmalonyl-CoA pathway
PWY-5742	L-arginine degradation IX (arginine:pyruvate transaminase pathway)
PWY-5743	3-hydroxypropanoate cycle
PWY-5744	glyoxylate assimilation
PWY-5747	2-methylcitrate cycle II
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria)
PWY-5757	fosfomycin biosynthesis
PWY-5766	L-glutamate degradation X
PWY-5768	pyruvate fermentation to acetate VIII
PWY-5770	phenazine-1-carboxylate biosynthesis
PWY-5782	2-keto-L-gulonate biosynthesis
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis
PWY-5789	3-hydroxypropanoate/4-hydroxybutanate cycle
PWY-5794	malonate degradation I (biotin-independent)
PWY-5796	malonate decarboxylase activation
PWY-5805	nonaprenyl diphosphate biosynthesis I
PWY-581	indole-3-acetate biosynthesis II
PWY-5818	validamycin biosynthesis
PWY-5830	CDP-ascarylose biosynthesis
PWY-5834	CDP-tyvelose biosynthesis
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis
PWY-5839	menaquinol-7 biosynthesis
PWY-5849	menaquinol-6 biosynthesis
PWY-5852	demethylmenaquinol-8 biosynthesis I
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)
PWY-5875	staphyloxanthin biosynthesis
PWY-5883	ephedrine biosynthesis
PWY-5884	wax esters biosynthesis I
PWY-5885	wax esters biosynthesis II
PWY-5887	albaflavenone biosynthesis
PWY-5901	2,3-dihydroxybenzoate biosynthesis
PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis
PWY-5913	partial TCA cycle (obligate autotrophs)
PWY-5915	phycoerythrobilin biosynthesis I
PWY-5917	phycocyanobilin biosynthesis
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
PWY-5922	(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation
PWY-5923	limonene degradation I (D-limonene)
PWY-5924	limonene degradation II (L-limonene)
PWY-5927	(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation
PWY-5929	puromycin biosynthesis
PWY-5935	tuberculosinol biosynthesis
PWY-5938	pyruvate fermentation to (<i>R</i>)-acetoin I
PWY-5939	pyruvate fermentation to (<i>R</i>)-acetoin II
PWY-5940	streptomycin biosynthesis
PWY-5941	glycogen degradation II
PWY-5942	<i>trans</i>-lycopene biosynthesis I
PWY-5943	&beta;-carotene biosynthesis
PWY-5944	zeaxanthin biosynthesis
PWY-5950	geosmin biosynthesis
PWY-5964	guanylyl molybdenum cofactor biosynthesis
PWY-5965	fatty acid biosynthesis initiation III
PWY-5971	palmitate biosynthesis II (bacteria and plants)
PWY-5978	kanosamine biosynthesis I
PWY-5979	3-amino-5-hydroxybenzoate biosynthesis
PWY-5981	CDP-diacylglycerol biosynthesis III
PWY-5984	rifamycin B biosynthesis
PWY-5989	stearate biosynthesis II (bacteria and plants)
PWY-5994	palmitate biosynthesis I (animals and fungi)
PWY-6003	gramicidin S biosynthesis
PWY-6004	glycine betaine biosynthesis V (from glycine)
PWY-6012	acyl carrier protein metabolism
PWY-6012-1	acyl carrier protein activation
PWY-6019	pseudouridine degradation
PWY-6041	4-sulfocatechol degradation
PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage)
PWY-6048	methylthiopropanoate degradation I (cleavage)
PWY-6049	superpathway of dimethylsulfoniopropanoate degradation
PWY-6053	dimethylsulfoniopropanoate biosynthesis III (algae)
PWY-6056	dimethylsulfoniopropanoate degradation II (cleavage)
PWY-6059	dimethyl sulfide degradation II (oxidation)
PWY-6060	malonate degradation II (biotin-dependent)
PWY-6061	bile acid biosynthesis, neutral pathway
PWY-6073	alginate biosynthesis I (algal)
