1-AMINO-PROPAN-2-OL	C[C@@H](O)C[N+]
2-KETO-3-DEOXY-6-P-GLUCONATE	C(=O)([O-])C(=O)C[C@H](O)[C@H](O)COP([O-])(=O)[O-]
2-KETO-3-METHYL-VALERATE	CC[C@H](C)C(=O)C([O-])=O
2-KETO-6-AMINO-CAPROATE	C(CC(=O)C(=O)[O-])CC[N+]
2-KETO-GLUTARAMATE	C(CC(N)=O)C(=O)C(=O)[O-]
2-KETO-ISOVALERATE	CC(C(C([O-])=O)=O)C
2-KETOGLUTARATE	C(CC([O-])=O)C(=O)C([O-])=O
2-MERCAPTOETHANOL	C(O)CS
2-METHYL-6-SOLANYL-14-BENZOQUINONE	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CC1(\C=C(O)C=C(C)C(\O)=1)
2-METHYL-BUTYRYL-COA	CCC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
2-O-ALPHA-MANNOSYL-D-GLYCERATE	C(O)[C@@H]1(O[C@H](O[C@H](CO)C(=O)[O-])[C@@H](O)[C@@H](O)[C@H](O)1)
2-OCTAPRENYL-6-HYDROXYPHENOL	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CC1(/C(/O)=C(C=CC=1)/O)
2-OCTAPRENYL-6-METHOXYPHENOL	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CC1(/C(/O)=C(C=CC=1)/OC)
2-OCTAPRENYLPHENOL	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CC1(/C(\O)=C/C=CC=1)
2-OXO-5-METHYLTHIOPENTANOIC-ACID	CSCCCC(=O)C(=O)[O-]
2-OXOBUTANOATE	CCC(=O)C(=O)[O-]
2-PG	C(=O)([O-])[C@H](OP(=O)([O-])[O-])CO
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	C[C@](OP([O-])([O-])=O)(CO)[C@H](O)COP(OP([O-])(=O)OC[C@H]2([C@H]([C@@H](O)[C@H](N1(C(N=C(C=C1)N)=O))O2)O))([O-])=O
2-PROTOCATECHUOYLPHLOROGLUCINOLCARBOXYLA	C(C2(\C(\OC(C1(/C=CC(/O)=C(C=1)/O))=O)=C/C(\O)=C/C(/O)=2))([O-])=O
2-TRANS6-TRANS-FARNESAL	CC(C)=CCCC(/C)=C/CCC(/C)=C/[CH]=O
2-TRANS6-TRANS-FARNESOL	CC(C)=CCCC(/C)=C/CCC(/C)=C/CO
24-DICHLOROPHENOL	C1(\C=C(O)C(\Cl)=C/C(\Cl)=1)
245-DNOL	C1(\[C@@H](Cl)C(\Cl)=C/[C@@H](C(\Cl)=1)O)
25-DDOL	C1(\[C@@H](C(\Cl)=C/[C@H](O)C(\Cl)=1)O)
25-DICHLORO-CISCIS-MUCONATE	C([O-])(=O)C(\Cl)=C/C=C(C(=O)[O-])Cl
25-DICHLOROHYDROQUINONE	C1(\C(/O)=C(C=C(C(\Cl)=1)O)/Cl)
25-DICHLOROPHENOL	C1(/C(\Cl)=C/C(/[O-])=C(C=1)/Cl)
25-DIDEHYDRO-D-GLUCONATE	C(C([C@H]([C@@H](C(C([O-])=O)=O)O)O)=O)O
26-DICHLORO-P-HYDROQUINONE	C1(\C(\O)=C/C(/Cl)=C(C(\Cl)=1)/[O-])
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	C[C@@]1(CO)(OP(=O)([O-])OP(=O)([O-])OC[C@@H](O)1)
2K-4CH3-PENTANOATE	CC(C)CC(C([O-])=O)=O
2K-ADIPATE	C(CC(=O)C(=O)[O-])CC(=O)[O-]
3-4-DIHYDROXYBENZOATE	C(C1(/C=C(C(\O)=C/C=1)O))(=O)[O-]
3-5-ADP	C([C@H]3([C@H]([C@H]([C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O)OP(=O)([O-])[O-]))OP([O-])([O-])=O
3-BETA-D-GLUCOSYLGLUCOSE	C(O)[C@H]2([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O[C@H]1([C@@H](O)C(O)O[C@H](CO)[C@@H](O)1))O2)
3-BETA-HYDROXYANDROST-5-EN-17-ONE	C[C@]13(CC[C@H](O)CC/1=C/C[C@@H]2([C@H]4(CCC(=O)[C@](CC[C@@H]23)(C)4)))
3-BROMOPYRUVATE	C(Br)C(=O)C(=O)[O-]
3-CARBOXY-3-HYDROXY-ISOCAPROATE	CC(C)[C@@](O)(CC(=O)[O-])C([O-])=O
3-DEHYDRO-SHIKIMATE	C([O-])(=O)C1(/C[C@@H](O)[C@H](O)C(=O)C=1)
3-DEMETHYLSTAUROSPORINE	C[C@]15(O[C@H](C[C@@H]([N+]C)[C@@H](O)1)N2(C8(\C=CC=CC(/C3(C7(/C(=O)NCC(\C4(C6(\C=CC=CC(/N(C(C2=3)=4)5)=6)))=7)))=8)))
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	C(=O)([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP([O-])(=O)[O-]
3-ENOLPYRUVYL-SHIKIMATE-5P	C=C(C(=O)[O-])O[C@H]1(CC(\C(=O)[O-])=C/[C@@H](OP(=O)([O-])[O-])[C@@H](O)1)
3-HYDROHYDROXYPHOSPHORYLPYRUVATE	C([O-])(=O)C(=O)C[PH]([O-])=O
3-HYDROXY-3-4-METHYLPENT-3-EN-1-YLG-COA	CC(C)=CCCC(O)(CC([O-])=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
3-HYDROXY-3-METHYL-GLUTARYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)[O-])COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
3-HYDROXY-5917-TRIOXO-45910-DISECOA	CC(\C(=O)CCC1(C(=O)CC[C@]2(C)(C(=O)CC[C@@H]12)))=C/C=C(O)C(=O)[O-]
3-HYDROXY-ANTHRANILATE	C1(/C=C(C(/N)=C(C=1)/O)C([O-])=O)
3-HYDROXY-L-KYNURENINE	C([O-])(=O)[C@@H]([N+])CC(=O)C1(\C=CC=C(O)C(/N)=1)
3-HYDROXY-PROPIONATE	C(CO)C([O-])=O
3-HYDROXY-PROPIONYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(CCO)=O)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
3-HYDROXYADIPYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(C[C@H](CCC(=O)[O-])O)=O)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
3-HYDROXYAMINOPHENOL	C1(/C=C(O)C=C(C=1)NO)
3-HYDROXYBENZOATE	C([O-])(=O)C1(/C=CC=C(O)C=1)
3-HYDROXYPHENYL-PROPIONATE	C(CCC1(/C=C(O)C=CC=1))(=O)[O-]
3-HYDROXYPIMELYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(CC(CCCC([O-])=O)O)=O)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
3-KETO-ADIPATE	C(=O)([O-])CC(=O)CCC(=O)[O-]
3-KETO-ADIPYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(CC(CCC([O-])=O)=O)=O)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
3-KETOBUTYRATE	CC(=O)CC([O-])=O
3-MERCAPTO-PYRUVATE	C(C(C(=O)[O-])=O)S
3-METHYLBENZYL-ALCOHOL	CC1(/C=C(C=CC=1)CO)
3-Methyl-Adenines	CN2(C1(=NC=NC/1=C(N)/N=C2))
3-OCTAPRENYL-4-HYDROXYBENZOATE	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CC1(\C=C(C(=O)[O-])C=CC(\O)=1)
3-OXO-5-BETA-CHOLANATE	C[C@@H]([C@@H]3(CC[C@@H]4([C@H]2(CC[C@H]1(CC(=O)CC[C@@](C)1[C@H]2CC[C@](C)34)))))CCC(=O)[O-]
3-OXO-CHOLYL-COA	CC(CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])[C@@H]5(CC[C@@H]6([C@H]7([C@H](O)C[C@H]4(CC(=O)CC[C@@](C)4[C@@H](C[C@H](O)[C@](C)56)7))))
3-OXO-DELTA4-CHOLYL-COA	CC(CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])[C@@H]5(CC[C@@H]6([C@H]7([C@H](O)CC4(/[C@](C)(CCC(=O)C=4)[C@@H](C[C@H](O)[C@](C)56)7))))
3-OXO-DELTA4-DEOXYCHOLYL-COA	C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])[C@@H]5(CC[C@@H]6([C@H]7(CCC4(/[C@](C)(CCC(=O)C=4)[C@@H](C[C@H](O)[C@](C)56)7))))
3-OXO-DELTA46-CHOLYL-COA	CC(CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])[C@@H]5(CC[C@@H]6([C@H]7(C=CC4(/[C@](C)(CCC(=O)C=4)[C@@H](C[C@H](O)[C@](C)56)7))))
3-OXO-DEOXYCHOLYL-COA	C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])[C@@H]5(CC[C@@H]6([C@H]7(CC[C@H]4(CC(=O)CC[C@@](C)4[C@@H](C[C@H](O)[C@](C)56)7))))
3-OXOADIPATE-ENOL-LACTONE	C(=O)(CC1(/OC(=O)CC=1))[O-]
3-OXOPIMELOYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(CC(CCCC([O-])=O)=O)=O)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
3-P-HYDROXYPYRUVATE	C(OP([O-])(=O)[O-])C(=O)C(=O)[O-]
3-P-SERINE	C(OP([O-])([O-])=O)[C@H]([N+])C(=O)[O-]
3-UREIDO-ISOBUTYRATE	C[C@H](CNC(N)=O)C(=O)[O-]
3-UREIDO-PROPIONATE	C(NC(=O)N)CC([O-])=O
34-DICHLOROANILINE	C1(/C(\N)=C/C(/Cl)=C(C=1)/Cl)
34-DIHYDROXYPHENYLACETALDEHYDE	C1(/C(\C[CH]=O)=C/C(/O)=C(C=1)/O)
34-DIHYDROXYPHENYLPYRUVATE	C(C(CC1(/C=CC(/O)=C(C=1)/O))=O)(=O)[O-]
35-DICHLOROCATECHOL	C1(\C(\Cl)=C/C(/O)=C(C(\Cl)=1)/O)
36-DICHLOROCATECHOL	C1(/C(/Cl)=C(C(/O)=C(C=1)/Cl)/O)
3Z-PHYCOCYANOBILIN	CC=C1([C@@H](C)C(NC\1=C/C4(/NC(\C=C2(C(\CCC([O-])=O)=C(C)/C(=N2)C=C3(C(\C)=C(CC)/C(=O)N3)))=C(CCC([O-])=O)/C(\C)=4))=O)
3Z-PHYCOERYTHROBILIN	CC=C1([C@@H](C)C(NC\1=C/C4(/NC(\C=C2(C(\CCC([O-])=O)=C(C)/C(=N2)C[C@H]3(C(\C)=C(C=C)/C(=O)N3)))=C(CCC([O-])=O)/C(\C)=4))=O)
4-ALPHA-METHYL-5-ALPHA	CC(C)CCC[C@H]([C@H]4([C@]1(C)([C@H](C2([C@H](CC1)[C@]3(C)([C@@H](CC=2)[C@H](C)[C@@H](O)CC3)))CC4)))C
4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON	CC(C)CCC[C@@H](C)[C@@H]3(CC[C@@H]4(C1([C@@H]([C@]2(CCC(=O)[C@@H](C)[C@H](CC=1)2)(C))CC[C@](C)34)))
4-AMINO-4-DEOXYCHORISMATE	C=C(C(=O)[O-])O[C@@H]1([C@H]([N+])C=CC(\C([O-])=O)=C/1)
4-AMINO-BUTYRALDEHYDE	C(C[N+])C[CH]=O
4-AMINO-BUTYRATE	C(C[N+])CC([O-])=O
4-CARBOXYMETHYLENEBUT-2-EN-4-OLIDE	C1(/C(/OC(=O)C=1)=C/C(=O)[O-])
4-CYTIDINE-5-DIPHOSPHO-2-C	C[C@](O)(CO)[C@H](O)COP(OP([O-])(=O)OC[C@H]2([C@H]([C@@H](O)[C@H](N1(C(N=C(C=C1)N)=O))O2)O))([O-])=O
4-DEOXY-BETA-D-GLUC-4-ENURONOSYL-6S	CC(=O)N[C@@H]2(C(O)O[C@H](COS(=O)(=O)[O-])[C@H](O)[C@H](O[C@H]1(OC(\C([O-])=O)=C/[C@H](O)[C@@H](O)1))2)
4-FLUOROBENZOATE	C(=O)([O-])C1(/C=CC(\F)=C/C=1)
4-HYDROXY-2-KETOVALERATE	C[C@H](O)CC(=O)C([O-])=O
4-HYDROXY-BUTYRATE	C(CCC([O-])=O)O
4-HYDROXY-BUTYRYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCO)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
4-HYDROXY-L-PROLINE	C1([N+][C@H](C(=O)[O-])C[C@@H](O)1)
4-HYDROXYBENZALDEHYDE	[CH](C1(/C=CC(\O)=C/C=1))=O
4-HYDROXYPHENYLACETATE	C1(/C=C(O)C=CC(\CC(=O)[O-])=1)
4-IMIDAZOLONE-5-PROPIONATE	C(C1(C(=O)N=CN1))CC(=O)[O-]
4-MALEYL-ACETOACETATE	C([O-])(=O)C=CC(=O)CC(=O)CC([O-])=O
4-METHYL-824-CHOLESTADIENOL	CC(C)=CCC[C@@H](C)[C@@H]2(CC[C@@H]3(C4(/CC[C@@H]1([C@H](C)[C@@H](O)CC[C@@](C)1C(/CC[C@](C)23)=4))))
4-METHYLBENZYL-ALCOHOL	CC1(/C=CC(\CO)=C/C=1)
4-METHYLCATECHOL	CC1(/C=CC(/O)=C(C=1)/O)
4-OH-4-ACETYL-2-OXOGLUTARATE	C(C(CC(O)(CC(=O)[O-])C(=O)[O-])=O)(=O)[O-]
4-OXALOMESACONATE	C(=O)([O-])C=C(CC(C([O-])=O)=O)C([O-])=O
4-P-PANTOTHENATE	CC([C@H](C(=O)NCCC(=O)[O-])O)(COP([O-])([O-])=O)C
4-PHOSPHONOOXY-THREONINE	C(=O)([O-])[C@@H]([N+])[C@H](O)COP([O-])(=O)[O-]
4-hydroxybenzoate	C(C1(/C=CC(\O)=C/C=1))(=O)[O-]
44-DIMETHYL-5ALPHA-CHOLEST-7-EN-3BET	CC(C)CCC[C@@H](C)[C@@H]4(CC[C@H]1([C@](C)(CC[C@@H]3(C1=CC[C@@H]2(C(C)(C)[C@H](CC[C@@](C)23)O)))4))
44-DIMETHYL-824-CHOLESTADIENOL	CC(C)=CCC[C@@H](C)[C@@H]2(CC[C@@H]3(C4(/CC[C@@H]1(C(C)(C)[C@@H](O)CC[C@@](C)1C(/CC[C@](C)23)=4))))
44-DIMETHYL-CHOLESTA-814-24-TRIENOL	CC(C)=CCC[C@H]([C@H]4([C@]2(C)(C(C3(/CC[C@H]1(C(C)(C)[C@@H](O)CC[C@@]1(C(/CC2)=3)C)))=CC4)))C
5-AMINO-LEVULINATE	C(C(C[N+])=O)CC([O-])=O
5-AMINOPENTANOATE	C(CC[N+])CC(=O)[O-]
5-BETA-L-THREO-PENTAPYRANOSYL-4-ULOSE-	C3(O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(C=CC(=O)NC(=O)2)))[C@H](O)[C@@H](O)C(=O)3)
5-DEHYDROGLUCONATE	C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]
5-HYDROXY-CTP	C([C@H]2([C@H]([C@@H](O)[C@H](N1(C(N=C(C(\O)=C/1)N)=O))O2)O))OP(OP(OP([O-])([O-])=O)([O-])=O)([O-])=O
5-HYDROXYINDOLE_ACETALDEHYDE	C1(/C(\O)=C/C2(/C(\C[CH]=O)=C/NC(\C=1)=2))
5-HYDROXYINDOLE_ACETATE	C([O-])(=O)CC1(/C2(/C(\NC=1)=C/C=C(O)C=2))
5-HYDROXYISOURATE	C2([C@]1(O)(NC(=O)NC1=NC(=O)N2))(=O)
5-IODOPENTAPHOSPHONATE	C(P(O)([O-])=O)CCCI
5-KETO-4-DEOXY-D-GLUCARATE	C(C(C[C@@H]([C@H](C([O-])=O)O)O)=O)([O-])=O
5-METHYL-THF	CN1([C@H](CNC2(\N=C(N)NC(=O)C\1=2))CNC3(/C=CC(\C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)=C/C=3))
5-METHYLTHIOADENOSINE	CSC[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N3(C=NC2(/C(=NC=NC(/N)=2)3)))
5-METHYLTHIOINOSINE	CSC[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(C=NC3(C(=O)NC=NC2=3)))
5-OXOPROLINE	C(=O)([C@@H]1(NC(CC1)=O))[O-]
5-P-BETA-D-RIBOSYL-AMINE	C(OP([O-])(=O)[O-])[C@H]1([C@@H](O)[C@@H](O)[C@H]([N+])O1)
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	C(NC=O)C(=O)N[C@@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1)
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	C([N+])C(=O)N[C@@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1)
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	C2(/[N+]=CN([C@H]1(O[C@H](COP([O-])(=O)[O-])[C@@H](O)[C@@H](O)1))C(\N)=2)
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	C(NC=O)C(=[N+])N[C@@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1)
6-CARBOXYHEX-2-ENOYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C=CCCCC(=O)[O-])COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
6-CHQ	C1(\C(\O)=C/C(/O)=C(C(\Cl)=1)/O)
6-HYDROXY-NICOTINATE	C1(\N=C(O)C=CC(\C(=O)[O-])=1)
6-KESTOSE	C([C@@H]3(O[C@H](O[C@]2(O[C@H](CO[C@]1(O[C@H](CO)[C@H]([C@H](O)1)O)CO)[C@H]([C@H](O)2)O)CO)[C@@H]([C@@H](O)[C@@H]3O)O))O
6-OXO-HEXANOATE	C(CC=O)CCC(=O)[O-]
7-8-DIHYDROPTEROATE	C(NC1(/C=CC(\C(=O)[O-])=C/C=1))C2(CNC3(\N=C(N)NC(=O)C(\N=2)=3))
7-CYANO-7-DEAZAGUANINE	C12(=C(C(NC(=N1)N)=O)C(\C#N)=C/N2)
7-METHYLGUANOSINE-5-PHOSPHATE	C[N+]1(=CN(C2(N=C(N)NC(=O)C1=2))[C@H]3(O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H](O)3))
