1-2-Diglycerides	a 1,2-diglyceride
23S-rRNA-2-O-methylcytidine2498	a 2-<i>O</i>-methylcytidine<sup>2498</sup> in 23S rRNA
23S-rRNA-2-O-methyluridine2552	a 2'-<i>O</i>-methyluridine<sup>2552</sup> in 23S rRNA
23S-rRNA-2-methyladenine2503	a 2-methyladenine<sup>2503</sup> in 23S rRNA
23S-rRNA-5-methyluracil1939	a 5-methyluracil<sup>1939</sup> in 23S rRNA
23S-rRNA-5-methyluracil747	a 5-methyluracil<sup>747</sup> in 23S rRNA
23S-rRNA-8-methyladenine2503	8-methyladenine<sup>2503</sup> in 23S rRNA
23S-rRNA-N1-methylguanine745	an <i>N</i><sup>1</sup>-methylguanine<sup>745</sup> in 23S rRNA
23S-rRNA-N2-methylguanine1835	an <i>N</i><sup>2</sup>-methylguanine<sup>1835</sup>  in 23S rRNA
23S-rRNA-N6-dimethyladenine2085	N<sup>6</sup>-dimethyladenine<sup>2085</sup> in 23S rRNA
23S-rRNA-N6-m-adenine1618	an <i>N</i><sup>6</sup>-methyladenine<sup>1618</sup> in 23S rRNA
23S-rRNA-N6-methyladenine-2030	an <i>N</i><sup>6</sup>-methyladenine<sup>2030</sup> in 23S rRNA
23S-rRNA-N7-methylguanine-2069	an <i>N</i><sup>7</sup>-methylguanine<sup>2069</sup> in 23S rRNA
23S-rRNA-adenine-1618	adenine<sup>1618</sup> in 23S rRNA
23S-rRNA-adenine-2030	adenine<sup>2030</sup> in 23S rRNA
23S-rRNA-adenine-2085	adenine<sup>2085</sup> in 23S rRNA
23S-rRNA-adenine-2503	adenine<sup>2503</sup> in 23S rRNA
23S-rRNA-adenosine-1067	adenosine<sup>1067</sup> in 23S rRNA
23S-rRNA-cytidine-1920	a cytidine<sup>1920</sup> in 23S rRNA
23S-rRNA-cytidine-2498	a cytidine<sup>2498</sup> in 23S rRNA
23S-rRNA-guanine-1835	a guanine<sup>1835</sup> in 23S rRNA
23S-rRNA-guanine-2069	a guanine<sup>2069</sup> in 23S rRNA
23S-rRNA-guanine-2445	a guanine<sup>2445</sup> in 23S rRNA
23S-rRNA-guanine-745	a guanine<sup>745</sup> in 23S rRNA
23S-rRNA-pseudouridine1911-1915-1917	a pseudouridine<sup>1911/1915/1917</sup> in 23S rRNA
23S-rRNA-pseudouridine2457	a pseudouridine<sup>2457</sup> in 23S rRNA
23S-rRNA-pseudouridine2604	a pseudouridine<sup>2604</sup> in 23S rRNA
23S-rRNA-pseudouridine2605	a pseudouridine<sup>2605</sup> in 23S rRNA
23S-rRNA-pseudouridine746	a pseudouridine<sup>746</sup> in 23S rRNA
23S-rRNA-pseudouridine955-2504-2580	a pseudouridine<sup>955/2504/2580</sup> in 23S rRNA
23S-rRNA-uracil-1939	a uracil<sup>1939</sup> in 23S rRNA
23S-rRNA-uracil-747	a uracil<sup>747</sup> in 23S rRNA
23S-rRNA-uridine-2552	uridine<sup>2552</sup> in 23S rRNA
23S-rRNA-uridine1911-1915-1917	a 23S rRNA uridine<sup>1911/1915/1917</sup>
23S-rRNA-uridine2457	uridine<sup>2457</sup> in 23S rRNA
23S-rRNA-uridine2604	a uridine<sup>2604</sup> in 23S rRNA
23S-rRNA-uridine2605	uridine<sup>2605</sup> in 23S rRNA
23S-rRNA-uridine746	uridine<sup>746</sup> in 23S rRNA
23S-rRNA-uridine955-2504-2580	uridine<sup>955/2504/2580</sup> in 23S rRNA
23S-rRNAs	a 23S rRNA
25-DIAMINOPENTANOATE	ornithine
2E-11Z-icosa-2-11-dienoyl-ACPs	an (2E,11Z)-icosa-2,11-dienoyl-[acp]
2E-5Z-tetradeca-2-5-dienoyl-ACPs	a (2E,5Z)-tetradeca-2,5-dienoyl-[acp]
2E-7Z-hexadeca-2-7-dienoyl-ACPs	a (2E,7Z)-hexadeca-2,7-dienoyl-[acp]
2E-9Z-octadeca-2-9-dienoyl-ACPs	a (2E,9Z)-octadeca-2,9-dienoyl-[acp]
2R-Hydroxy-Fatty-Acids	a (2R)-2-hydroxy fatty acid
3-3-HAAs	a 3-(3-hydroxyalkanoyloxy)alkanoate
3-AMINO-6-ACETAMIDOHEXANOATE	N6-acetyl-&beta;-lysine
3-AMINO-ISOBUTYRATE	3-amino-2-methylpropanoate
3-Ac-Heptadec-2-dienoyl-BryB-PKS	a (6E,11E,13S,15R,16R)-3-acetyl-5,13,15,16-tetrahydroxy-11-(2-methoxy-2-oxoethylidene)-8,8-dimethyl-9-oxoheptadec-2,6-dienoyl-[BryB polyketide synthase]
3-Ac-Heptadecenoyl-BryB-PKS	a (6E,11E,13S,15R,16R)-3-acetyl-3,5,13,15,16-pentahydroxy-11-(2-methoxy-2-oxoethylidene)-8,8-dimethyl-9-oxoheptadec-6-enoyl-[BryB polyketide synthase]
3-Ac-Tetrahydroxynonanoyl-BryA-PKS	a 3-acetyl-(3,5R,7R,8R)-3,5,7,8-tetrahydroxynonanoyl-[BryA polyketide synthase]
3-Ac-Tri-OH-Nonenoyl-BryA-PKS	a 3-acetyl-(5R,7R,8R)-5,7,8-trihydroxynon-2-enoyl-[BryA polyketide synthase]
3-Aryl-Acrylates	a 3-(aryl)acrylate
3-Aryl-Acryloyl-CoAs	a 3-(aryl)acryloyl-CoA
3-Beta-Hydroxysterols	a 3&beta;-hydroxysteroid
3-CARBAMOYLOXYMETHYLCEPHEM	a 3-carbamoyloxymethylcephem
3-CHLORO-DL-ALANINE	3-chloro-DL-alanine
3-Chlorobenzoate-Degradation	3-Chlorobenzoate Degradation
3-Chlorocatechol-Degradation	3-Chlorocatechol Degradation
3-Chlorotoluene-Degradation	3 Chlorotoluene Degradation
3-Dehydroquinate-Biosynthesis	3-Dehydroquinate Biosynthesis
3-HYDROXY-BUTYRATE	3-hydroxybutanoate
3-HYDROXY-ISOBUTYRATE	3-hydroxy-isobutanoate
3-HYDROXY-ISOBUTYRYL-COA	3-hydroxy-isobutanoyl-CoA
3-Hydroxy-L-aspartate	3-hydroxy-L-aspartate
3-Hydroxy-Terminated-DNAs	a [DNA]-3'-hydroxyl
3-Hydroxy-octanoyl-ACPs	a (3<i>R</i>)-3-hydroxyoctanoyl-[acp]
3-Hydroxybutanoyl-CoAs	3-hydroxybutanoyl-CoA
3-KETOACYL-COA	a 2,3,4-saturated 3-oxoacyl-CoA
3-MAc-Heptadec-2-dienoyl-BryB-PKS	a (6E,11E,13S,15R,16R)-3-methylacetyl-5,13,15,16-tetrahydroxy-11-(2-methoxy-2-oxoethylidene)-8,8-dimethyl-9-oxoheptadec-2,6-dienoyl-[BryB polyketide synthase]
3-MAc-Tri-OH-Nonenoyl-BryA-PKS	a 3-methylacetyl-(5R,7R,8R)-5,7,8-trihydroxynon-2-enoyl-[BryA polyketide synthase]
3-Methyl-Saturated-Fatty-Acids	a 3-methyl-branched 2,3,4-saturated fatty acid
3-Methyl-Saturated-Fatty-Acyl-CoA	a 3-methyl-branched 2,3,4-saturated fatty acyl-CoA
3-OH-4-Methyl-Anthranilate-Biosynthesis	3-hydroxy-4-methyl-anthranilate biosynthesis
3-Oxo-5-Alpha-Steroids	a 3-oxo-5-&alpha;-steroid
3-Oxo-Delta-4-Steroids	a 3-oxo-&Delta;<SUP>4</SUP>-steroid
3-Oxo-octanoyl-ACPs	a 3-oxooctanoyl-[acp]
3-Oxosteroids	a 3-oxosteroid
3-Oxosteroyl-CoA	a 3-oxo bile acid CoA ester
3-PHOSPHATIDYL-3-O-L-LYSYLGLYCEROL	3-<i>O</i>-L-lysyl-1-<i>O</i>-phosphatidylglycerol
3-Phosphomonucleotides	a ribonucleoside 3'-phosphate
3-Polyrenyl-benzene-1-2-diols	a 3-(<i>all-trans</i>-polyprenyl)benzene-1,2-diol
3-Prime-Phosphate-Terminated-DNAs	a [DNA]-nucleotide-3'-phosphate
3-Prime-Phosphate-Terminated-RNAs	an [RNA]-3'-ribonucleoside-3'-phosphate
3-oxo-D-glucose-6-phosphate	3-dehydro-D-glucose 6-phosphate
3-oxo-arachidoyl-ACPs	a 3-oxoicosanoyl-[acp]
3-oxo-behenoyl-ACPs	a 3-oxodocosanoyl-[acp]
3-oxo-cerotoyl-ACPs	a 3-oxohexacosanoyl-[acp]
3-oxo-decanoyl-ACPs	a 3-oxodecanoyl-[acp]
3-oxo-dodecanoyl-ACPs	a 3-oxododecanoyl-[acp]
3-oxo-hexanoyl-ACPs	a 3-oxohexanoyl-[acp]
3-oxo-lignoceroyl-ACPs	a 3-oxotetracosanoyl-[acp]
3-oxo-myristoyl-ACPs	a 3-oxotetradecanoyl-[acp]
3-oxo-palmitoyl-ACPs	a 3-oxohexadecanoyl-[acp]
3-oxo-stearoyl-ACPs	a 3-oxooctadecanoyl-[acp]
3-terminal-unsaturated-sugars	a 3'-terminal unsaturated sugar
3-vinyl-bacteriochlorophyllide-d	a 3-vinyl chlorophyllide <i>d</i>
34-DHB-AsbD-Proteins	a 3,4-dihydroxybenzoyl-[aryl-carrier protein]
35-Di-OH-MA-SibE-Proteins	a 3,5-dihydroxy-4-methyl-anthranilyl-[SibE aryl-carrier protein]
3O-4-dimethyl-5-OH-L-tyr-SfmC	3O,4-dimethyl,5-hydroxy L-tyrosyl-[SfmC L-tyrosyl-carrier-protein]
3R-11Z-3-hydroxy-icos-11-enoyl-ACPs	a (3R,11Z)-3-hydroxy-icos-11-enoyl-[acp]
3R-5Z-3-hydroxy-tetradec-5-enoyl-ACPs	a (3<i>R</i>,5Z)-3-hydroxy-tetradec-5-enoyl-[acp]
3R-7Z-3-hydroxy-hexadec-7-enoyl-ACPs	a (3R,7Z)-3-hydroxy-hexadec-7-enoyl-[acp]
3R-9Z-3-hydroxy-octadec-9-enoyl-ACPs	a (3R,9Z)-3-hydroxy-octadec-9-enoyl-[acp]
3Z-dodec-3-enoyl-ACPs	a (3Z)-dodec-3-enoyl-[acp]
3alpha-hydroxysteroyl-CoA	a 3&alpha;-hydroxy bile acid CoA ester
3b-hydroxy-D5-steroids	a 3&beta;-hydroxy-&delta;<sup>5</sup>-steroid
3beta-OH-44-dimethyl-sterols	a 3&beta;-hydroxy-4,4-dimethylsteroid
3beta-OH-4a-carboxy-4b-methyl-sterols	a 3&beta;-hydroxy-4&alpha;-carboxy-4&beta;-methylsteroid
3beta-OH-4b-carboxy-4a-methyl-sterols	a 3&beta;-hydroxy-4&beta;-carboxy-4&alpha;-methylsteroid
3prime-Hydroxy-Flavones	a 3'-hydroxyflavone
4-Acetyl-2-keto-compounds	an (<i>4S</i>)-4-acetyl-2-oxo compound
4-Amino-butanoyl-BtrI-Acps	a 4-amino butanoyl-[BtrI L-glutamyl-carrier protein]
4-Aminobutyraye-Degradation	4-Aminobutanoate Degradation
4-Cl-L-Threonyl-PCP	a 4-chloro-L-threonyl-[L-threonyl-carrier protein]
4-HMA-AcmD-Proteins	a 3-hydroxy-4-methyl-anthranilyl-[AcmD acyl-carrier protein]
4-HMA-SibE-Proteins	a 3-hydroxy-4-methyl-anthranilyl-[SibE aryl-carrier protein]
4-HYDROXYMANDELATE	4-hydroxymandelate
4-HYDROXYPHENYLLACTATE	3-(4-hydroxyphenyl)lactate
4-Hydroxy-3-polyprenylbenzoates	a 4-hydroxy-3-polyprenylbenzoate
4-Hydroxybenzoate-Biosynthesis	4-Hydroxybenzoate Biosynthesis
4-Hydroxybenzoyl-pks15	4-hydroxybenzoyl-[4-hydroxyphenylalkanoate synthase]
4-Hydroxyisoflavones	a 4'-hydroxyisoflavone
4-Isopropenyl-Pimelyl-CoA	4-(isopropenyl)pimeloyl-CoA
4-MHA-THR-VAL-AcmD-Proteins	a 3-hydroxy-4-methyl-anthranilyl-L-threonyl-D-valyl-[AcmD acyl-carrier protein]
4-Nitrotoluene-Degradation	4-Nitrotoluene Degradation
4-gamma-glutamylamino-butanoyl-BtrI	a 4-(&gamma;-L-glutamylamino)butanoyl-[BtrI L-glutamyl-carrier protein]
4-hydroxyphenylheptadecanoyl-PKS15	17-(4-hydroxyphenyl)heptadecanoyl-[4-hydroxyphenylalkanoate synthase]
4-hydroxyphenylnonadecanoyl-PKS15	19-(4-hydroxyphenyl)nonadecanoyl-[4-hydroxyphenylalkanoate synthase]
4-isopropenyl-7-methyloxepan-2-one	a 4-isopropenyl-7-methyloxepan-2-one
4Fe-4S+1	a [4Fe-4S]<sup>+1</sup> iron-sulfur cluster
4Fe-4S+2	a [4Fe-4S]<sup>+2</sup> iron-sulfur cluster
4N-2mthio-5oxo-3Spyrrolidine-2-COOH-HlmE	4-amino-2-(methanethioyl)-5-oxo-3-sulfanylpyrrolidine-2-carboxyl-[HlmE non-ribosomal peptide synthetase]
4R-Limonene-1-2-epoxides	a (4R)-1,2-epoxymenth-8-ene
4S-limonene-1-2-epoxides	a (4S)-1,2-epoxymenth-8-ene
4Z-9Z-Hexadec-4-9-dienoyl-acp	a (4Z,9Z)-hexadec-4,9-dienoyl-[acp]
4Z-9Z-Octadec-4-9-dienoyl-acp	a (4Z,9Z)-octadec-4,9-dienoyl-[acp]
4alpha-Methyl-3-Oxosteroids	a 4&alpha;-methyl-3-oxosteroid
5-10-METHENYL-THF-GLU-N	a 5,10-methenyltetrahydrofolate
5-L-GLUTAMYL-AMINO-ACID	an &alpha;-(5-L-glutamyl)-amino acid
5-L-GLUTAMYL-L-AMINO-ACID	an &alpha;-(&gamma;-L-glutamyl)-L-amino acid
5-METHYL-THF-GLU-N	a 5-methyltetrahydrofolate
5-Methyl-2-thiouracil54-in-tRNA	a 5-methyl-2-thiouracil<sup>54</sup> in tRNA
5-Methylcytosine-DNA	a 5-methylcytosine in DNA
5-Phospho-DNA	a 5'-phospho-[DNA]
5-Phospho-RNA	a 5'-phospho-ribonucleoside-[RNA]
5-Phospho-terminated-DNAs	a 5'-phospho-[DNA]
5-Phosphomononucleotides	a 5'-phosphomononucleotide
5-hexenoyl-ACPs	a 5-hexenoyl-[acp]
5-hexynoyl-ACPs	a 5-hexynoyl-[acp]
5-methoxycarbonylmethoxyU34-tRNA	a 5-(methoxycarbonylmethoxy)uridine<sup>34</sup> in tRNA
5-oxyacetylU34-tRNA	a 5-(carboxymethoxy)uridine<sup>34</sup> in tRNA
5-phosphooligonucleotides	a 5'-phosphooligonucleotide
5678-TETRAHYDROPTERIDINE	a 5,6,7,8-tetrahydropteridine
5Prime-OH-Terminated-RNAs	a 5'-hydroxy-ribonucleotide-3'-[RNA]
5Z-3-oxo-tetradec-5-enoyl-ACPs	a (5Z)-3-oxo-tetradec-5-enoyl-[acp]
5Z-Dodec-5-enoate-Biosynthesis	(5Z)-dodecenoate Biosynthesis
5Z-tetradec-5-enoyl-ACPs	a (5Z)-tetradec-5-enoyl-[acp]
6-Dimethylallyladenosine37-tRNAs	<i>N</i><sup>6</sup>-dimethylallyladenosine<sup>37</sup> in tRNA
6-H-5-I-2-methylhexanoates	a 6-hydroxy-5-isopropenyl-2-methylhexanoate
6-HM-Dihydropterin-PP-Biosynthesis	6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis
6-Hydroxy-3-isopropenylheptanoates	a 6-hydroxy-3-isopropenylheptanoate
6-Hydroxy-37-dimethyloctanoate	a 6-hydroxy-3,7-dimethyloctanoate
6-isopropenyl-3-methyloxepan-2-one	a 6-isopropenyl-3-methyloxepan-2-one
67-DIHYDROPTERIDINE	a 6,7-dihydropteridine
6Methoxy5Methyl2Polyprenyl14Benzoquinol	a 6-methoxy-3-methyl-2-<i>all-trans</i>-polyprenyl-1,4-benzoquinol
7-Beta-Hydroxysteroids	a 7-&beta;-hydroxysteroid
7-Deazapurines	a 7-deazapurine
7-Keto-8-aminopelargonate-Biosynthesis	8-Amino-7-oxononanoate Biosynthesis
7-Oxosteroids	a 7-oxosteroid
7-isopropyl-4-methyloxepan-2-ones	a 7-isopropyl-4-methyloxepan-2-one
7-methyl-3-oxooctanoyl-ACP	a 7-methyl-3-oxooctanoyl-[acp]
7Z-3-oxo-hexadec-7-enoyl-ACPs	a (7Z)-3-oxo-hexadec-7-enoyl-[acp]
7Z-hexadec-7-enoyl-ACPs	a (7Z)-hexadec-7-enoyl-[acp]
8-Methyldemethylmenaquinones	a 2-demethyl-8-methylmenaquinone
8-Methylmenaquinones	an 8-methylmenaquinone
8-methyl-3-oxononanoyl-ACP	an 8-methyl-3-oxononanoyl-[acp]
9-Methyl-sphing-4-8-dienine-ceramides	a 9-methyl-(4E,8E)-sphinga-4,8-dienine ceramide
9Z-3-oxo-octadec-9-enoyl-ACPs	a (9Z)-3-oxo-octadec-9-enoyl-[acp]
A-5-prime-PP-5-prime-DNA	an adenosine-5'-diphospho-5'-[DNA]
A-5-prime-PP-5-prime-RNA	a 5'-(5'-diphosphoadenosine)-(ribonucleoside)-[RNA]
A-DEEP-ROUGH-FORM-LIPOPOLYSACCHARIDE	a deep rough form lipopolysaccharide
A-LIPID-HYDROPEROXIDE	a hydroperoxy-fatty-acyl-[lipid]
A-REDUCED-TORY-PROTEIN	a reduced TorY protein
A-factor-type-lactones	an A-factor type &gamma;-butyrolactone
ACETOIN	acetoin
ACETYL-ACP	an acetyl-[acp]
ACP	a soluble [acyl-carrier protein]
ACTINOMYCIN	an actinomycin
ACYL-ACP	an acyl-[acyl-carrier protein]
ACYL-COA	an acyl-CoA
ACYL-SN-GLYCEROL-3P	a 1-acyl-<i>sn</i>-glycerol 3-phosphate
ACYLCHLORIDE	an acylchloride
ADP-RIBOSE-P-OR-NOP	an ADP-ribose
ADP-SUGARS	an ADP-sugar
ADP-Sugar-Biosynthesis	ADP-sugar Biosynthesis
AEROBIC-RESPIRATION	Aerobic Respiration
AIR-Biosynthesis	5-Aminoimidazole Ribonucleotide Biosynthesis
ALA-tRNAs	a tRNA<SUP>Ala</SUP>
ALANINE-DEG	L-alanine Degradation
ALANINE-SYN	L-alanine Biosynthesis
ALGINATE	alginate
ALKALOID	an alkaloid
ALKALOIDS	Alkaloid Degradation
ALKALOIDS-SYN	Alkaloid Biosynthesis
ALLANTOIN	allantoin
ALLO-THR	DL-allothreonine
ALPHA-N-ACETYLNEURAMINYL-23-BETA-ETCETER	an <i>N</i>-acetyl-&alpha;-neuraminyl-(2&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R
