engelman_met_id,PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID_UPDATED,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,KEGG,HMDB
met52716,2192,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Lipid,Plasmalogen,52716,LC/MS Pos Late,100009162,2454,718.5745,,11146967,,HMDB11206
met52474,2220,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen,52474,LC/MS Pos Late,100002875,1547,480.3449,,10917802,,HMDB10407
met39270,2221,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen,39270,LC/MS Neg,100003000,6285,436.2833,,,,
met52475,2206,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen,52475,LC/MS Pos Late,100008999,2511,752.5589,,9547058,,HMDB05779
met52748,2199,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,52748,LC/MS Pos Late,100009225,2633,728.5589,,,,HMDB11376
met52614,2198,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Lipid,Plasmalogen,52614,LC/MS Pos Late,100008919,2950,730.5745,144371-68-6,,,HMDB11375
met39271,2225,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen,39271,LC/MS Neg,100003001,6500,464.3146,,,,
met33228,2035,1-arachidonoyl-GPC (20:4n6)*,Lipid,Lysophospholipid,33228,LC/MS Pos Late,100001551,1460,544.3398,,,C05208,HMDB10395
met35186,2075,1-arachidonoyl-GPE (20:4n6)*,Lipid,Lysophospholipid,35186,LC/MS Pos Late,100001571,1470,502.2928,,42607465,,HMDB11517
met34214,2109,1-arachidonoyl-GPI (20:4)*,Lipid,Lysophospholipid,34214,LC/MS Neg,100001654,5482,619.2889,,,,HMDB61690
met34397,2248,1-arachidonylglycerol (20:4),Lipid,Monoacylglycerol,34397,LC/MS Neg,100001433,6250,303.2329,35474-99-8,5282281,C13857,HMDB11549
met61505,2049,1-cerotoyl-GPC (26:0)*,Lipid,Lysophospholipid,61505,LC/MS Pos Late,100015772,1990,636.4963,,,,HMDB29205
met38140,4541,1-hydroxy-2-naphthalenecarboxylate,Xenobiotics,Drug - Other,38140,LC/MS Neg,100002394,3930,187.0401,86-48-6,6844,C03203,
met49617,2046,1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid,49617,LC/MS Pos Late,100002873,1907,608.465,325171-59-3,,,HMDB10405
met45951,2020,1-linolenoyl-GPC (18:3)*,Lipid,Lysophospholipid,45951,LC/MS Pos Late,100005350,1410,518.3241,,,,HMDB10388
met52710,1809,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phosphatidylcholine (PC),52710,LC/MS Pos Late,100009131,1969,806.5694,,,,HMDB08147
met53176,1806,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC),53176,LC/MS Pos Late,100009343,1939,780.5538,,,,HMDB08141
met52690,1996,1-linoleoyl-GPA (18:2)*,Lipid,Lysophospholipid,52690,LC/MS Neg,100009082,5483,433.2361,,,,HMDB07856
met34419,2018,1-linoleoyl-GPC (18:2),Lipid,Lysophospholipid,34419,LC/MS Pos Late,100001395,1465,520.3398,,11988421,C04100,HMDB10386
met36600,2064,1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid,36600,LC/MS Pos Late,100001570,1482,478.2928,,52925130,,HMDB11507
met54885,2097,1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,54885,LC/MS Neg,100009227,5516,507.2728,,,,
met36594,2105,1-linoleoyl-GPI (18:2)*,Lipid,Lysophospholipid,36594,LC/MS Neg,100001778,5494,595.2889,,,,
met27447,2243,1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,27447,LC/MS Neg,100001040,6477,279.2329,2277-28-3,5283469,,
met32350,82,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,32350,LC/MS Pos Early,100001208,2064,141.0659,2625-49-2,75810,C05828,HMDB02820
met48114,413,1-methylguanidine,Amino Acid,Guanidino and Acetamido Metabolism,48114,LC/MS Pos Early,100000715,2149,74.0713,22661-87-6,10111,C02294,HMDB01522
met30460,65,1-methylhistidine,Amino Acid,Histidine Metabolism,30460,LC/MS Neg,100001051,1227,168.0779,332-80-9,92105,C01152,HMDB00001
met27665,3476,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,27665,LC/MS Pos Early,55,1940,137.0709,1005-24-9,10129985,C02918,HMDB00699
met34395,3678,1-methylurate,Xenobiotics,Xanthine Metabolism,34395,LC/MS Pos Early,100001400,1461,183.0513,708-79-2,69726,C16359,HMDB03099
met34389,3684,1-methylxanthine,Xenobiotics,Xanthine Metabolism,34389,LC/MS Neg,100001405,1568.8,165.0418,6136-37-4,80220,C16358,HMDB10738
met53195,1721,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Lipid,Phosphatidylcholine (PC),53195,LC/MS Pos Late,100009139,1914,754.5381,,,,HMDB07883
met19258,1717,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),19258,LC/MS Pos Late,100000672,2147,706.5381,69525-80-0,129657,,HMDB07869
met52697,1804,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),52697,LC/MS Pos Late,100009130,2011,832.5851,,,,HMDB08123
met53209,1884,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,Lipid,Phosphatidylethanolamine (PE),53209,LC/MS Pos Late,100009220,2119,790.5381,,,,
met48258,2015,1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,48258,LC/MS Pos Late,100001272,1540,522.3554,19420-56-5,16081932,,HMDB02815
met35628,2062,1-oleoyl-GPE (18:1),Lipid,Lysophospholipid,35628,LC/MS Pos Late,100001569,1554,480.3085,89576-29-4,9547071,,HMDB11506
met45968,2095,1-oleoyl-GPG (18:1)*,Lipid,Lysophospholipid,45968,LC/MS Neg,100005716,5610,509.2885,,,,
met36602,2103,1-oleoyl-GPI (18:1)*,Lipid,Lysophospholipid,36602,LC/MS Neg,100001777,5599,597.3045,,,,
met21184,2242,1-oleoylglycerol (18:1),Lipid,Monoacylglycerol,21184,LC/MS Neg,100000924,6650,281.2486,111-03-5,5283468,,HMDB11567
met53180,1760,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,Lipid,Phosphatidylcholine (PC),53180,LC/MS Pos Late,100009345,1850,754.5381,,,,HMDB08008
met33230,2007,1-palmitoleoyl-GPC (16:1)*,Lipid,Lysophospholipid,33230,LC/MS Pos Late,100001511,1450,494.3241,,24779461,,HMDB10383
met52431,2239,1-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol,52431,LC/MS Neg,100008952,6094,253.2173,,,,HMDB11565
met52462,1748,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phosphatidylcholine (PC),52462,LC/MS Pos Late,100008914,2091,782.5694,35418-58-7,10747814,,HMDB07982
met52464,1855,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phosphatidylethanolamine (PE),52464,LC/MS Pos Late,100008990,2198,740.5225,,9546800,,HMDB05323
met52467,1954,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Lipid,Phosphatidylinositol (PI),52467,LC/MS Polar,100008993,892,857.5186,,,,HMDB09789
met52454,1744,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Lipid,Phosphatidylcholine (PC),52454,LC/MS Pos Late,100008985,2199,784.5851,,,,
met52610,1754,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Lipid,Phosphatidylcholine (PC),52610,LC/MS Pos Late,100008915,2023,806.5694,59403-54-2,6441886,,HMDB07991
met52465,1857,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,Lipid,Phosphatidylethanolamine (PE),52465,LC/MS Pos Late,100008991,2119,764.5225,,9546799,,HMDB05324
met42446,1738,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phosphatidylcholine (PC),42446,LC/MS Pos Late,1537,2160,758.5694,40811-94-7,5287971,,HMDB07973
met42449,1852,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phosphatidylethanolamine (PE),42449,LC/MS Pos Late,100001870,2275,716.5225,,9546747,,HMDB05322
met52450,1952,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Lipid,Phosphatidylinositol (PI),52450,LC/MS Polar,1528,910,833.5185,,,,HMDB09784
met52461,1735,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),52461,LC/MS Pos Late,1539,2358,760.5851,26853-31-6;26853-31-6,6436017,,HMDB07972
met19263,1851,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),19263,LC/MS Pos Late,1526,2509,718.5381,26662-94-2,5283496,,HMDB05320
met52669,1950,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,Phosphatidylinositol (PI),52669,LC/MS Polar,100009066,893,835.5342,,,,HMDB09783
met52470,1732,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC),52470,LC/MS Pos Late,100008984,2160,732.5538,,,,HMDB07969
met52616,1733,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phosphatidylcholine (PC),52616,LC/MS Pos Late,100008921,2653,762.6007,59403-51-9,,,HMDB07970
met33955,2005,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid,33955,LC/MS Pos Late,100001263,1525,496.3398,17364-16-8,86554,,HMDB10382
met35631,2053,1-palmitoyl-GPE (16:0),Lipid,Lysophospholipid,35631,LC/MS Pos Late,100001567,1544,454.2928,53862-35-4,9547069,,HMDB11503
met35305,2098,1-palmitoyl-GPI (16:0),Lipid,Lysophospholipid,35305,LC/MS Neg,100001655,5564,571.2889,,,,HMDB61695
met61868,83,1-ribosyl-imidazoleacetate*,Amino Acid,Histidine Metabolism,61868,LC/MS Pos Early,100001668,2006,259.0925,29605-99-0,5117448,C05131,HMDB02331
met42450,1781,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phosphatidylcholine (PC),42450,LC/MS Pos Late,100001869,2300,810.6007,35418-59-8,16219824,,HMDB08048
met52447,1872,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid,Phosphatidylethanolamine (PE),52447,LC/MS Pos Late,100008977,2424,768.5538,,5289133,,HMDB09003
met52449,1969,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Lipid,Phosphatidylinositol (PI),52449,LC/MS Polar,100000616,870,885.5495,383907-33-3,,,HMDB09815
met52611,1787,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),Lipid,Phosphatidylcholine (PC),52611,LC/MS Pos Late,100008916,2197,834.6013,59403-52-0,,,HMDB08057
met52466,1876,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,Lipid,Phosphatidylethanolamine (PE),52466,LC/MS Pos Late,100008992,2317,792.5538,,9546798,,HMDB05334
met52452,1773,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,Lipid,Phosphatidylcholine (PC),52452,LC/MS Pos Late,100008980,2380,786.6007,,,,HMDB08039
met52446,1867,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Lipid,Phosphatidylethanolamine (PE),52446,LC/MS Pos Late,100008976,2522,744.5538,,9546749,,HMDB08994
met52468,1958,1-stearoyl-2-linoleoyl-GPI (18:0/18:2),Lipid,Phosphatidylinositol (PI),52468,LC/MS Polar,100008994,910,861.5499,,,,HMDB09809
met52438,1770,1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phosphatidylcholine (PC),52438,LC/MS Pos Late,100008904,2644,788.6164,56421-10-4,,,HMDB08038
met42448,1864,1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE),42448,LC/MS Pos Late,100001856,2858,746.5694,,,,HMDB08993
met52623,1943,1-stearoyl-2-oleoyl-GPG (18:0/18:1),Lipid,Phosphatidylglycerol (PG),52623,LC/MS Polar,100001866,717,775.5495,322647-48-3,,,
met33961,2013,1-stearoyl-GPC (18:0),Lipid,Lysophospholipid,33961,LC/MS Pos Late,100001271,1606,524.3711,19420-57-6,497299,,HMDB10384
met42398,2060,1-stearoyl-GPE (18:0),Lipid,Lysophospholipid,42398,LC/MS Pos Late,100001461,1626,482.3241,69747-55-3,9547068,,HMDB11130
met19324,2101,1-stearoyl-GPI (18:0),Lipid,Lysophospholipid,19324,LC/MS Neg,100000656,5794,599.3202,796963-93-4,,,HMDB61696
met33971,1163,10-heptadecenoate (17:1n7),Lipid,Long Chain Fatty Acid,33971,LC/MS Neg,100001278,5555,267.233,29743-97-3,5312435,,HMDB60038
met33972,1175,10-nonadecenoate (19:1n9),Lipid,Long Chain Fatty Acid,33972,LC/MS Neg,100001277,5780,295.2643,73033-09-7,5312513,,HMDB13622
met32497,1150,10-undecenoate (11:1n1),Lipid,Medium Chain Fatty Acid,32497,LC/MS Neg,100001197,5085.8,183.1391,1333-28-4,14891,C13910,HMDB33724
met47135,2610,11-ketoetiocholanolone glucuronide,Lipid,Androgenic Steroids,47135,LC/MS Neg,100005402,4280,479.2287,17181-16-7,,,
met38395,1533,"12,13-DiHOME",Lipid,"Fatty Acid, Dihydroxy",38395,LC/MS Neg,62,5137,313.2384,263399-35-5,10236635,C14829,HMDB04705
met37752,1509,13-HODE + 9-HODE,Lipid,"Fatty Acid, Monohydroxy",37752,LC/MS Neg,100002196,5275,295.2283,,43013,,
met38768,1271,15-methylpalmitate (i17:0),Lipid,"Fatty Acid, Branched",38768,LC/MS Neg,100002945,5695,269.2487,,17903417,,
met39609,1505,16-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",39609,LC/MS Neg,100002953,5236.2,271.2279,506-13-8,10466,C18218,HMDB06294
met38168,2612,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,38168,LC/MS Neg,100002126,4240,383.1534,,,,
met38296,1274,17-methylstearate (i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,2724-59-6,3083779,,HMDB37397
met37482,2544,17alpha-hydroxypregnenolone 3-sulfate,Lipid,Pregnenolone Steroids,37482,LC/MS Neg,100002128,4800,411.1847,28901-70-4,152971,,HMDB00416
met57783,4173,1H-indole-7-acetic acid,Xenobiotics,Bacterial/Fungal,57783,LC/MS Neg,100004601,2862,174.0561,39689-63-9,,,
met52602,3417,2'-deoxyuridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",52602,LC/MS Neg,536,1586,227.0673,951-78-0,13712,C00526,HMDB00012
met57554,3442,2'-O-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",57554,LC/MS Pos Early,100010895,2411,258.1085,2140-72-9,150971,,
met57655,3405,2'-O-methyluridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",57655,LC/MS Neg,100010896,1831,257.0779,2140-76-3,102212,,
met57547,313,"2,3-dihydroxy-2-methylbutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57547,LC/MS Neg,100010869,787,133.0506,14868-24-7,301941,,HMDB29576
met38276,3789,"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant,38276,LC/MS Polar,100002417,1050,133.0506,1756-18-9,677,C04039,HMDB12141
met48580,4207,2-acetamidophenol sulfate,Xenobiotics,"Drug - Analgesics, Anesthetics",48580,LC/MS Neg,100006190,2251,230.0129,40712-60-5,181671,,
met6146,101,2-aminoadipate,Amino Acid,Lysine Metabolism,6146,LC/MS Polar,381,3500,160.0615,542-32-5;1118-90-7,469,C00956,HMDB00510
met42374,427,2-aminobutyrate,Amino Acid,Glutathione Metabolism,42374,LC/MS Pos Early,1128,2059,104.0706,1492-24-6,439691,C02261,HMDB00650
met43761,1351,2-aminoheptanoate,Lipid,"Fatty Acid, Amino",43761,LC/MS Pos Early,100004542,3160,146.1176,1115-90-8,227939,,
met43343,1356,2-aminooctanoate,Lipid,"Fatty Acid, Amino",43343,LC/MS Pos Late,100004227,750,160.1332,644-90-6,69522,,HMDB00991
met43266,4600,2-aminophenol sulfate,Xenobiotics,Chemical,43266,LC/MS Neg,100004322,1677,188.0023,,181670,,HMDB61116
met36746,308,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",36746,LC/MS Neg,100001541,1800,131.0714,488-15-3,164623,,HMDB00317
met33173,4200,2-hydroxyacetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",33173,LC/MS Neg,100001791,1674,246.0078,,86290013,,
met52281,429,2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,Glutathione Metabolism,52281,LC/MS Polar,100008928,1258,103.0401,,,,
met42489,1475,2-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",42489,LC/MS Neg,100004089,4840,187.134,5393-81-7,21488,,
met37253,1288,2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",37253,LC/MS Pos Early,100002070,958,131.0339,40951-21-1,43,C02630,HMDB00606
met18281,3593,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,18281,LC/MS Polar,1869,1123.9,194.0459,487-54-7,10253,C07588,HMDB00840
met43330,4214,2-hydroxyibuprofen,Xenobiotics,"Drug - Analgesics, Anesthetics",43330,LC/MS Neg,100004169,3462,221.1183,51146-55-5,10443535,,HMDB60920
met52916,1528,2-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",52916,LC/MS Neg,100008934,5211,215.1653,2984-55-6,97783,,
met22036,1474,2-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",22036,LC/MS Neg,100000743,3736.8,159.1027,617-73-2,94180,,HMDB02264
met35675,1480,2-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",35675,LC/MS Neg,100001579,5511.2,271.2279,764-67-0,92836,,HMDB31057
met1432,176,2-hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,1432,LC/MS Polar,235,858.6,151.0401,614-75-5,11970,C05852,HMDB00669
met61702,1481,2-hydroxyphytanate*,Lipid,"Fatty Acid, Monohydroxy",61702,LC/MS Neg,100004414,5751,327.2905,14721-68-7,189026,,
met17945,1482,2-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",17945,LC/MS Neg,1239,5695,299.2592,629-22-1,69417,C03045,
met32506,2257,2-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,32506,LC/MS Neg,100000987,6250,279.2329,3443-82-1,5365676,,HMDB11538
met33161,4202,2-methoxyacetaminophen glucuronide*,Xenobiotics,"Drug - Analgesics, Anesthetics",33161,LC/MS Neg,100001795,1633,356.0987,,14367271,,
met47031,4201,2-methoxyacetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",47031,LC/MS Neg,100001793,1949,260.0234,,86290014,,
met48445,4700,2-methoxyresorcinol sulfate,Xenobiotics,Chemical,48445,LC/MS Neg,100006184,1863,218.9969,1446269-78-8,,,
met45095,290,2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",45095,LC/MS Pos Early,100001509,3035,246.17,31023-25-3,6426901,,HMDB00378
met40479,3797,2-oxindole-3-acetate,Xenobiotics,Food Component/Plant,40479,LC/MS Pos Early,100003109,2378,192.0655,2971-31-5,3080590,,HMDB35514
met55072,360,2-oxoarginine*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,55072,LC/MS Pos Early,100002784,1760,174.0873,663193,558,C03771,HMDB04225
met35253,2006,2-palmitoyl-GPC (16:0)*,Lipid,Lysophospholipid,35253,LC/MS Neg,100001562,6215,570.3413,,15061532,,HMDB61702
met43400,3705,2-piperidinone,Xenobiotics,Food Component/Plant,43400,LC/MS Pos Early,100004295,1675,100.0757,675-20-7,12665,,HMDB11749
met57778,4432,2-propyl-2-pentenoate (2-ene-valproate),Xenobiotics,Drug - Neurological,57778,LC/MS Neg,100015981,3874,141.0921,60218-41-9,6437068,C16653,HMDB13902
met48143,4433,2-propyl-4-pentenoate (4-ene-valproate),Xenobiotics,Drug - Neurological,48143,LC/MS Neg,100005952,3436,141.0921,1575-72-0,104896,,
met41220,2061,2-stearoyl-GPE (18:0)*,Lipid,Lysophospholipid,41220,LC/MS Neg,100003901,6350,480.3096,,,,HMDB11129
met46115,2550,21-hydroxypregnenolone disulfate,Lipid,Pregnenolone Steroids,46115,LC/MS Neg,100001999,3935,245.0671,1164-98-3,134595,,
met53026,4092,"3,4-methyleneheptanoate",Xenobiotics,Food Component/Plant,53026,LC/MS Neg,100006651,3807,141.0921,,,,
met52929,1422,"3,4-methyleneheptanoylcarnitine",Lipid,Fatty Acid Metabolism(Acyl Carnitine),52929,LC/MS Neg,100009234,4096,346.1871,,,,
met34399,3682,"3,7-dimethylurate",Xenobiotics,Xanthine Metabolism,34399,LC/MS Neg,100001398,1418.2,195.0524,13087-49-5,83126,C16360,HMDB01982
met35635,3670,3-(3-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,35635,LC/MS Neg,100001624,1980,165.0557,621-54-5,91,C11457,HMDB00375
met45415,3667,3-(3-hydroxyphenyl)propionate sulfate,Xenobiotics,Benzoate Metabolism,45415,LC/MS Neg,100005391,1294,245.0125,86321-32-6,187488,,
met32197,142,3-(4-hydroxyphenyl)lactate,Amino Acid,Tyrosine Metabolism,32197,LC/MS Neg,240,1379,181.0506,6482-98-0,9378,C03672,HMDB00755
met34365,4203,3-(cystein-S-yl)acetaminophen*,Xenobiotics,"Drug - Analgesics, Anesthetics",34365,LC/MS Pos Early,100001797,2420,271.0747,,5233914,,
met45721,4197,3-(N-acetyl-L-cystein-S-yl) acetaminophen,Xenobiotics,"Drug - Analgesics, Anesthetics",45721,LC/MS Neg,2048,2094,311.0707,52372-86-8,83967,,
met48693,4598,3-acetylphenol sulfate,Xenobiotics,Chemical,48693,LC/MS Neg,100004326,2477,215.002,,,,
met1566,3455,3-aminoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Thymine containing",1566,LC/MS Pos Early,1114,2190,104.0706,10569-72-9;214139-20-5,64956,C05145,HMDB03911
met61871,1319,3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-Cmpfp)**,Lipid,"Fatty Acid, Dicarboxylate",61871,LC/MS Neg,100020004,4000,267.1238,,194501,,
met31787,1318,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Lipid,"Fatty Acid, Dicarboxylate",31787,LC/MS Neg,100001178,2800,239.0925,86879-39-2,123979,,HMDB61112
met32397,295,3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",32397,LC/MS Neg,100001170,975,117.0557,4374-62-3,188979,,HMDB00396
met531,2480,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,531,LC/MS Polar,112,2850,161.0456,503-49-1,1662,C03761,HMDB00355
met62069,1293,3-hydroxyadipate*,Lipid,"Fatty Acid, Dicarboxylate",62069,LC/MS Polar,100004396,3131,161.0455,,151913,,HMDB00345
met542,1457,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,542,LC/MS Polar,254,1444,103.0401,625-72-9,441,C01089,HMDB00357
met62064,1394,3-hydroxybutyroylglycine**,Lipid,Fatty Acid Metabolism(Acyl Glycine),62064,LC/MS Pos Early,100020211,978,162.0761,,,,
met43264,1397,3-hydroxybutyrylcarnitine (1),Lipid,Fatty Acid Metabolism(Acyl Carnitine),43264,LC/MS Pos Early,100003926,2400,248.1493,,53481617,,HMDB13127
met52984,1398,3-hydroxybutyrylcarnitine (2),Lipid,Fatty Acid Metabolism(Acyl Carnitine),52984,LC/MS Pos Early,100009271,2340,248.1493,,,,HMDB13127
met43470,3695,3-hydroxycotinine glucuronide,Xenobiotics,Tobacco Metabolite,43470,LC/MS Neg,100004494,1745,367.1147,132929-88-5,183115,,HMDB01204
met22053,1490,3-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",22053,LC/MS Neg,100000997,4634.7,187.134,5561-87-5,26612,,HMDB02203
